nps_id,customer_id,channel_id,score,comment,responded_at,responded_at_int
13000000170,710,2,8,No Comment,2024-10-09 09:38:46,202410090938
13000000171,609,1,6,No Comment,2024-09-22 04:24:43,202409220424
13000000172,763,1,4,Tardó un poco más de lo esperado,2025-07-08 03:35:39,202507080335
13000000173,1356,1,1,Volvería a comprar,2025-06-12 15:59:14,202506121559
13000000174,1275,2,7,Entrega rápida y producto excelente,2024-06-02 21:10:41,202406022110
13000000175,490,2,9,Todo perfecto,2025-09-17 14:12:21,202509171412
13000000176,523,1,9,No Comment,2024-08-21 18:04:29,202408211804
13000000177,1234,2,9,Volvería a comprar,2024-07-07 10:21:13,202407071021
13000000178,1163,1,8,No Comment,2024-08-06 23:49:16,202408062349
13000000179,406,2,8,Atención muy buena,2025-10-05 14:51:06,202510051451
13000000180,835,1,2,Volvería a comprar,2025-07-10 06:40:59,202507100640
13000000181,320,1,8,Volvería a comprar,2025-05-07 01:37:10,202505070137
13000000182,414,1,7,Muy conforme con la calidad,2025-01-06 04:49:31,202501060449
13000000183,1463,1,9,No Comment,2024-03-27 09:33:42,202403270933
13000000184,928,2,10,No Comment,2024-07-26 05:16:35,202407260516
13000000185,643,1,9,Podría mejorar el empaque,2025-02-21 03:41:53,202502210341
13000000186,999,2,2,No Comment,2025-02-12 07:15:19,202502120715
13000000187,207,1,7,Muy conforme con la calidad,2025-06-29 11:26:26,202506291126
13000000188,641,1,0,Entrega rápida y producto excelente,2025-02-22 20:24:49,202502222024
13000000189,1110,1,1,Podría mejorar el empaque,2025-10-06 13:17:35,202510061317
13000000190,1062,1,8,Todo perfecto,2025-05-24 09:29:00,202505240929
13000000191,698,1,1,No Comment,2024-08-10 06:34:02,202408100634
13000000192,1236,1,10,Todo perfecto,2025-06-29 07:04:50,202506290704
13000000193,755,1,8,Volvería a comprar,2024-05-10 05:40:54,202405100540
13000000194,329,1,7,Podría mejorar el empaque,2024-07-31 07:13:57,202407310713
13000000195,800,1,7,Todo perfecto,2024-09-25 19:02:18,202409251902
13000000196,678,1,10,Todo perfecto,2024-01-30 12:03:01,202401301203
13000000197,1383,1,10,Tardó un poco más de lo esperado,2024-05-14 08:07:01,202405140807
13000000198,1251,1,10,Todo perfecto,2024-04-05 03:29:58,202404050329
13000000199,1252,1,7,Entrega rápida y producto excelente,2024-02-25 07:28:39,202402250728
13000000200,283,1,5,Todo perfecto,2025-09-19 08:42:55,202509190842
13000000201,907,2,2,Todo perfecto,2024-07-14 17:53:58,202407141753
13000000202,893,1,1,Entrega rápida y producto excelente,2024-12-25 14:16:39,202412251416
13000000203,413,2,8,Volvería a comprar,2025-04-28 12:51:40,202504281251
13000000204,788,2,10,Podría mejorar el empaque,2024-10-27 04:13:53,202410270413
13000000205,350,2,8,Todo perfecto,2025-08-31 17:23:35,202508311723
13000000206,758,2,5,Muy conforme con la calidad,2024-01-18 11:57:25,202401181157
13000000207,699,2,10,Muy conforme con la calidad,2025-07-26 13:52:22,202507261352
13000000208,689,1,9,Tardó un poco más de lo esperado,2024-02-06 02:22:22,202402060222
13000000209,348,1,1,Tardó un poco más de lo esperado,2024-04-24 04:18:58,202404240418
13000000210,974,1,9,Entrega rápida y producto excelente,2025-05-02 23:51:14,202505022351
13000000211,444,1,7,Muy conforme con la calidad,2025-07-28 08:36:03,202507280836
13000000212,96,1,9,Tardó un poco más de lo esperado,2025-09-06 12:06:06,202509061206
13000000213,674,1,7,Podría mejorar el empaque,2025-01-19 04:34:47,202501190434
13000000214,867,1,8,Muy conforme con la calidad,2024-11-10 21:54:58,202411102154
13000000215,686,1,7,No Comment,2025-07-26 03:48:53,202507260348
13000000216,640,1,10,Todo perfecto,2024-06-09 04:48:07,202406090448
13000000217,1191,1,9,Entrega rápida y producto excelente,2024-08-10 04:18:48,202408100418
13000000218,321,2,5,Volvería a comprar,2025-05-24 10:49:55,202505241049
13000000219,1045,1,3,Entrega rápida y producto excelente,2024-09-28 02:51:20,202409280251
13000000220,644,2,10,Atención muy buena,2024-01-13 16:30:11,202401131630
13000000221,514,2,8,Todo perfecto,2025-07-22 03:52:32,202507220352
13000000222,649,1,6,No Comment,2025-02-04 00:04:20,202502040004
13000000223,1294,2,5,Podría mejorar el empaque,2025-08-22 00:27:47,202508220027
13000000224,814,2,4,Volvería a comprar,2025-08-07 21:35:53,202508072135
13000000225,801,1,7,Entrega rápida y producto excelente,2024-12-06 19:00:31,202412061900
13000000226,351,1,5,Todo perfecto,2024-12-08 05:31:27,202412080531
13000000227,838,2,8,Todo perfecto,2024-10-06 12:33:46,202410061233
13000000228,78,1,6,Podría mejorar el empaque,2025-05-14 18:38:37,202505141838
13000000229,1338,1,2,Podría mejorar el empaque,2024-12-20 21:23:08,202412202123
13000000230,182,2,7,No Comment,2024-06-01 06:59:29,202406010659
13000000231,560,1,4,Atención muy buena,2024-11-22 19:15:20,202411221915
13000000232,1390,1,6,No Comment,2024-04-07 16:45:28,202404071645
13000000233,130,2,4,Tardó un poco más de lo esperado,2024-12-29 14:09:56,202412291409
13000000234,1143,2,2,Muy conforme con la calidad,2025-05-14 11:19:02,202505141119
13000000235,223,2,7,Atención muy buena,2025-04-18 06:39:34,202504180639
13000000236,622,1,2,Volvería a comprar,2024-02-16 09:22:11,202402160922
13000000237,1328,1,9,Muy conforme con la calidad,2024-06-09 07:31:20,202406090731
13000000238,1192,1,7,Tardó un poco más de lo esperado,2024-02-27 03:41:54,202402270341
13000000239,119,1,2,Tardó un poco más de lo esperado,2024-06-21 11:15:26,202406211115
13000000240,1115,1,8,Podría mejorar el empaque,2025-08-13 08:06:16,202508130806
13000000241,49,1,8,Todo perfecto,2024-04-21 20:33:27,202404212033
13000000242,1133,2,5,Muy conforme con la calidad,2025-09-03 15:53:22,202509031553
13000000243,193,1,9,Volvería a comprar,2025-07-16 13:29:06,202507161329
13000000244,539,1,6,Tardó un poco más de lo esperado,2024-01-28 15:36:48,202401281536
13000000245,200,1,7,Podría mejorar el empaque,2025-03-26 17:15:42,202503261715
13000000246,1084,1,10,Podría mejorar el empaque,2024-01-25 18:58:03,202401251858
13000000247,422,2,10,Entrega rápida y producto excelente,2024-05-06 19:36:29,202405061936
13000000248,348,2,6,Entrega rápida y producto excelente,2024-09-05 20:52:06,202409052052
13000000249,951,1,9,Volvería a comprar,2025-09-18 04:22:11,202509180422
13000000250,251,2,7,Tardó un poco más de lo esperado,2024-11-26 08:33:35,202411260833
13000000251,26,1,8,Atención muy buena,2025-01-22 14:00:56,202501221400
13000000252,1063,2,6,Volvería a comprar,2025-03-14 10:37:47,202503141037
13000000253,271,1,8,Podría mejorar el empaque,2024-02-02 07:25:07,202402020725
13000000254,567,1,9,Entrega rápida y producto excelente,2025-01-20 17:53:26,202501201753
13000000255,254,1,9,Atención muy buena,2025-07-23 13:34:36,202507231334
13000000256,66,2,6,Entrega rápida y producto excelente,2024-04-05 13:11:38,202404051311
13000000257,518,1,0,Entrega rápida y producto excelente,2025-01-05 17:33:23,202501051733
13000000258,603,1,7,Tardó un poco más de lo esperado,2024-06-26 09:14:20,202406260914
13000000259,321,1,4,No Comment,2024-01-30 11:44:33,202401301144
13000000260,1210,2,9,Tardó un poco más de lo esperado,2025-05-31 18:10:31,202505311810
13000000261,407,2,7,Atención muy buena,2025-02-09 15:21:46,202502091521
13000000262,996,2,9,Podría mejorar el empaque,2025-01-02 20:37:23,202501022037
13000000263,1192,2,8,Tardó un poco más de lo esperado,2024-11-03 14:07:34,202411031407
13000000264,221,1,1,Podría mejorar el empaque,2024-08-12 17:24:03,202408121724
13000000265,1189,1,6,Muy conforme con la calidad,2025-07-24 23:55:00,202507242355
13000000266,1230,1,9,Todo perfecto,2024-07-23 10:11:38,202407231011
13000000267,244,1,6,Podría mejorar el empaque,2024-12-08 19:33:05,202412081933
13000000268,416,1,6,Entrega rápida y producto excelente,2024-10-29 22:00:32,202410292200
13000000269,289,2,7,No Comment,2024-10-21 10:02:42,202410211002
13000000270,233,1,0,Todo perfecto,2024-09-07 23:46:39,202409072346
13000000271,300,1,7,Todo perfecto,2025-03-19 18:26:54,202503191826
13000000272,1066,1,5,Atención muy buena,2024-10-04 18:45:15,202410041845
13000000273,854,2,10,Atención muy buena,2024-02-07 11:26:10,202402071126
13000000274,1339,1,7,Tardó un poco más de lo esperado,2024-01-27 18:27:33,202401271827
13000000275,484,1,10,Todo perfecto,2024-12-27 00:49:20,202412270049
13000000276,948,1,6,Entrega rápida y producto excelente,2024-01-12 16:25:54,202401121625
13000000277,713,1,6,Tardó un poco más de lo esperado,2024-11-22 09:01:45,202411220901
13000000278,1466,1,9,Entrega rápida y producto excelente,2025-04-22 01:42:26,202504220142
13000000279,426,1,7,Atención muy buena,2025-06-16 01:31:53,202506160131
13000000280,1313,1,0,Todo perfecto,2025-03-04 15:40:25,202503041540
13000000281,995,1,4,Muy conforme con la calidad,2024-07-16 22:57:22,202407162257
13000000282,499,1,8,Tardó un poco más de lo esperado,2025-03-12 17:12:20,202503121712
13000000283,1408,2,7,Tardó un poco más de lo esperado,2025-03-07 13:54:08,202503071354
13000000284,498,1,8,Entrega rápida y producto excelente,2025-03-11 19:06:17,202503111906
13000000285,840,1,6,Muy conforme con la calidad,2024-11-24 19:10:47,202411241910
13000000286,92,1,9,Tardó un poco más de lo esperado,2025-02-10 07:29:10,202502100729
13000000287,1449,2,9,Tardó un poco más de lo esperado,2025-10-06 14:11:47,202510061411
13000000288,1129,2,7,Entrega rápida y producto excelente,2025-09-29 22:07:10,202509292207
13000000289,972,2,8,No Comment,2024-11-27 19:02:18,202411271902
13000000290,260,2,8,Volvería a comprar,2025-09-17 21:39:47,202509172139
13000000291,683,2,4,Tardó un poco más de lo esperado,2024-01-23 05:42:51,202401230542
13000000292,1042,1,2,Volvería a comprar,2025-04-27 06:06:59,202504270606
13000000293,1422,1,6,Muy conforme con la calidad,2024-03-07 13:04:16,202403071304
13000000294,1347,2,9,No Comment,2024-03-09 16:19:23,202403091619
13000000295,705,2,8,Muy conforme con la calidad,2025-02-18 21:20:29,202502182120
13000000296,1306,2,10,Entrega rápida y producto excelente,2025-06-20 06:52:08,202506200652
13000000297,327,2,0,Entrega rápida y producto excelente,2024-12-06 01:33:41,202412060133
13000000298,1119,1,5,Podría mejorar el empaque,2024-03-13 12:57:11,202403131257
13000000299,2,1,10,Muy conforme con la calidad,2025-07-20 15:58:08,202507201558
13000000300,988,1,8,Podría mejorar el empaque,2024-02-25 12:08:47,202402251208
13000000301,1485,1,8,Atención muy buena,2025-07-08 11:01:03,202507081101
13000000302,791,1,8,Volvería a comprar,2025-07-17 06:47:48,202507170647
13000000303,204,1,9,Podría mejorar el empaque,2025-04-29 12:01:36,202504291201
13000000304,22,2,8,Entrega rápida y producto excelente,2024-05-04 00:45:45,202405040045
13000000305,510,2,1,No Comment,2025-01-05 20:34:12,202501052034
13000000306,614,2,9,No Comment,2024-04-06 13:36:01,202404061336
13000000307,27,2,9,Podría mejorar el empaque,2024-12-22 14:50:59,202412221450
13000000308,1319,2,6,Todo perfecto,2025-07-21 03:34:38,202507210334
13000000309,845,1,9,Volvería a comprar,2024-11-17 01:33:45,202411170133
13000000310,783,2,5,Muy conforme con la calidad,2025-07-14 12:14:03,202507141214
13000000311,1350,1,9,No Comment,2025-08-26 18:08:04,202508261808
13000000312,773,1,7,Todo perfecto,2025-08-17 04:54:53,202508170454
13000000313,1457,1,4,Tardó un poco más de lo esperado,2024-10-27 01:01:22,202410270101
13000000314,1488,1,9,Atención muy buena,2024-10-13 16:39:39,202410131639
13000000315,1286,1,10,Muy conforme con la calidad,2024-09-04 12:14:01,202409041214
13000000316,1306,1,9,Tardó un poco más de lo esperado,2025-08-30 13:56:58,202508301356
13000000317,397,2,8,Podría mejorar el empaque,2024-02-09 21:16:04,202402092116
13000000318,341,1,4,Entrega rápida y producto excelente,2024-03-30 09:14:25,202403300914
13000000319,1475,2,9,Entrega rápida y producto excelente,2025-05-23 00:58:37,202505230058
13000000320,963,1,5,Entrega rápida y producto excelente,2024-02-12 10:05:49,202402121005
13000000321,423,1,9,Todo perfecto,2024-06-14 01:31:03,202406140131
13000000322,1176,2,9,Entrega rápida y producto excelente,2024-04-18 20:56:37,202404182056
13000000323,1128,2,8,Tardó un poco más de lo esperado,2024-04-10 04:28:29,202404100428
13000000324,56,1,8,Todo perfecto,2025-09-14 05:14:26,202509140514
13000000325,389,2,5,Atención muy buena,2024-04-24 06:04:28,202404240604
13000000326,598,2,9,Podría mejorar el empaque,2025-03-27 23:38:23,202503272338
13000000327,2,2,7,Todo perfecto,2024-06-02 12:00:35,202406021200
13000000328,118,2,8,Volvería a comprar,2025-03-04 06:11:26,202503040611
13000000329,835,1,10,No Comment,2025-06-18 02:07:23,202506180207
13000000330,554,1,7,Todo perfecto,2024-11-02 13:43:36,202411021343
13000000331,371,1,10,No Comment,2025-09-30 17:10:37,202509301710
13000000332,965,1,9,Volvería a comprar,2025-06-09 17:39:53,202506091739
13000000333,687,2,6,Atención muy buena,2025-02-15 19:51:47,202502151951
13000000334,516,1,9,No Comment,2024-12-18 18:28:50,202412181828
13000000335,1295,2,8,Volvería a comprar,2025-05-06 05:04:25,202505060504
13000000336,660,1,4,Tardó un poco más de lo esperado,2024-09-04 23:59:05,202409042359
13000000337,838,2,8,No Comment,2025-10-05 16:30:15,202510051630
13000000338,447,2,8,Atención muy buena,2024-10-11 21:10:53,202410112110
13000000339,1187,2,4,Volvería a comprar,2024-03-14 13:07:31,202403141307
13000000340,1457,1,7,Entrega rápida y producto excelente,2025-07-01 22:15:09,202507012215
13000000341,16,1,7,Podría mejorar el empaque,2024-11-04 09:51:44,202411040951
13000000342,1421,1,0,Tardó un poco más de lo esperado,2024-06-20 14:29:54,202406201429
13000000343,861,1,9,Muy conforme con la calidad,2024-08-13 11:17:08,202408131117
13000000344,515,1,2,Todo perfecto,2024-10-08 06:24:47,202410080624
13000000345,280,1,10,Entrega rápida y producto excelente,2024-05-18 01:52:36,202405180152
13000000346,829,1,7,Podría mejorar el empaque,2024-09-08 07:35:57,202409080735
13000000347,1319,1,10,Entrega rápida y producto excelente,2025-07-21 07:27:52,202507210727
13000000348,682,1,10,Tardó un poco más de lo esperado,2025-07-03 19:30:51,202507031930
