shipment_sk,shipment_id,order_id,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,shipped_at_sk,delivered_at_sk,carrier,tracking_number,status,shipping_fee
24,9000000023,1000000023,379,2,3,3,3,1147423,1147423,1148863,PICKUP,-1,DELIVERED,0.0
25,9000000024,1000000024,441,2,2,2,2,967198,967198,968638,PICKUP,-1,DELIVERED,0.0
26,9000000025,1000000025,125,1,-1,-1,516,1221538,1222978,1228738,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED,1200.0
27,9000000026,1000000026,1201,1,-1,-1,301,852480,853920,858240,Correo Argentino,TRK-IWZB9131BN,DELIVERED,1200.0
28,9000000027,1000000027,1055,1,-1,-1,1862,836745,838185,842505,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED,900.0
29,9000000028,1000000028,382,1,-1,-1,1423,550452,551892,557652,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED,0.0
30,9000000029,1000000029,1456,1,-1,-1,1425,1248644,1250084,1257284,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED,900.0
31,9000000030,1000000030,1377,2,4,4,4,1109943,1109943,1111383,PICKUP,-1,SHIPPED,0.0
32,9000000031,1000000031,1375,2,4,4,4,1066276,1066276,1067716,PICKUP,-1,SHIPPED,0.0
33,9000000032,1000000032,821,1,-1,-1,924,985838,987278,990158,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED,1200.0
34,9000000033,1000000033,1475,2,4,4,4,581964,581964,583404,PICKUP,-1,DELIVERED,0.0
35,9000000034,1000000034,634,2,2,2,2,815125,815125,816565,PICKUP,-1,DELIVERED,0.0
36,9000000035,1000000035,585,2,1,1,1,368995,368995,370435,PICKUP,-1,DELIVERED,0.0
37,9000000036,1000000036,180,1,-1,-1,1863,738420,739860,744180,Correo Argentino,TRK-JI1IJOL9GD,DELIVERED,900.0
38,9000000037,1000000037,482,1,-1,-1,2325,388808,390248,396008,Correo Argentino,TRK-B103OLM2ZZ,DELIVERED,1200.0
39,9000000038,1000000038,620,2,1,1,1,400230,400230,401670,PICKUP,-1,DELIVERED,0.0
40,9000000039,1000000039,603,2,1,1,1,559003,559003,560443,PICKUP,-1,DELIVERED,0.0
41,9000000040,1000000040,1028,1,-1,-1,1149,443939,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
42,9000000041,1000000041,1005,2,3,3,3,372120,372120,373560,PICKUP,-1,DELIVERED,0.0
43,9000000042,1000000042,790,1,-1,-1,33,742878,744318,747198,Correo Argentino,TRK-T6YEYXIY47,DELIVERED,1500.0
44,9000000043,1000000043,665,1,-1,-1,2043,556487,557927,565127,Correo Argentino,TRK-4BKBFC142A,SHIPPED,900.0
45,9000000044,1000000044,562,1,-1,-1,1135,1231953,1233393,1236273,Correo Argentino,TRK-OE8JOVHWT3,DELIVERED,1500.0
46,9000000045,1000000045,998,1,-1,-1,1984,398235,399675,406875,Correo Argentino,TRK-78RSWE9YNS,DELIVERED,900.0
47,9000000046,1000000046,276,1,-1,-1,493,368822,370262,376022,Correo Argentino,TRK-ENFRRYBCN7,DELIVERED,0.0
48,9000000047,1000000047,1469,2,2,2,2,449814,449814,451254,PICKUP,-1,DELIVERED,0.0
49,9000000048,1000000048,408,2,2,2,2,722411,722411,723851,PICKUP,-1,READY,0.0
50,9000000049,1000000049,1360,2,2,2,2,675096,675096,676536,PICKUP,-1,DELIVERED,0.0
51,9000000050,1000000050,1423,1,-1,-1,665,649466,650906,656666,Correo Argentino,TRK-2UFL9MQ11P,DELIVERED,1200.0
52,9000000051,1000000051,741,1,-1,-1,1867,724691,726131,730451,Correo Argentino,TRK-TL9JNTSSQA,DELIVERED,900.0
53,9000000052,1000000052,969,1,-1,-1,1612,796513,797953,800833,Correo Argentino,TRK-RK6C2JA3AN,DELIVERED,0.0
54,9000000053,1000000053,729,1,-1,-1,458,672860,-1,-1,Correo Argentino,-1,CANCELLED,900.0
55,9000000054,1000000054,251,2,4,4,4,460940,460940,462380,PICKUP,-1,SHIPPED,0.0
56,9000000055,1000000055,1087,2,1,1,1,1173387,1173387,1174827,PICKUP,-1,SHIPPED,0.0
57,9000000056,1000000056,659,1,-1,-1,1891,1026218,1027658,1031978,Correo Argentino,TRK-F94E82XEU7,DELIVERED,1200.0
58,9000000057,1000000057,338,2,4,4,4,953632,953632,955072,PICKUP,-1,DELIVERED,0.0
59,9000000058,1000000058,1068,1,-1,-1,2075,733142,-1,-1,Correo Argentino,-1,CANCELLED,1500.0
60,9000000059,1000000059,958,1,-1,-1,2539,615687,617127,624327,Correo Argentino,TRK-GYMRRQSRNH,DELIVERED,0.0
61,9000000060,1000000060,428,2,4,4,4,433222,-1,-1,PICKUP,-1,CANCELLED,0.0
62,9000000061,1000000061,1337,1,-1,-1,88,965421,966861,971181,Correo Argentino,TRK-1JVAA08D71,DELIVERED,1200.0
63,9000000062,1000000062,1442,2,3,3,3,867603,867603,869043,PICKUP,-1,DELIVERED,0.0
64,9000000063,1000000063,939,1,-1,-1,410,569418,570858,573738,Correo Argentino,TRK-4QRWG4O3VS,DELIVERED,1500.0
65,9000000064,1000000064,1409,1,-1,-1,311,970006,971446,974326,Correo Argentino,TRK-GHR4X51MO5,DELIVERED,1200.0
66,9000000065,1000000065,1062,1,-1,-1,1403,727244,728684,734444,Correo Argentino,TRK-Y0WLIWLAP3,DELIVERED,1200.0
67,9000000066,1000000066,988,1,-1,-1,138,389194,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
68,9000000067,1000000067,778,1,-1,-1,1252,1024824,1026264,1033464,Correo Argentino,TRK-WPHKOKPY98,DELIVERED,900.0
69,9000000068,1000000068,77,1,-1,-1,624,835854,837294,841614,Correo Argentino,TRK-95ADJ6QXJ8,SHIPPED,0.0
70,9000000069,1000000069,700,1,-1,-1,480,588099,589539,596739,Correo Argentino,TRK-75UERJVV88,DELIVERED,0.0
71,9000000070,1000000070,425,1,-1,-1,432,1176472,1177912,1183672,Correo Argentino,TRK-SHAJ4MH7LK,SHIPPED,900.0
72,9000000071,1000000071,1271,2,3,3,3,646201,646201,647641,PICKUP,-1,DELIVERED,0.0
73,9000000072,1000000072,1129,1,-1,-1,2540,399381,400821,408021,Correo Argentino,TRK-NH83FI4OJA,SHIPPED,1500.0
74,9000000073,1000000073,1224,1,-1,-1,1123,845119,846559,850879,Correo Argentino,TRK-3BTEYU6C8K,SHIPPED,900.0
75,9000000074,1000000074,446,1,-1,-1,2068,854202,855642,864282,Correo Argentino,TRK-NQPTS0MMBB,DELIVERED,900.0
76,9000000075,1000000075,867,1,-1,-1,2685,996137,997577,1003337,Correo Argentino,TRK-A7O7MMZ1H4,DELIVERED,900.0
77,9000000076,1000000076,127,1,-1,-1,3189,439822,441262,444142,Correo Argentino,TRK-Z56VK3U0QJ,DELIVERED,1200.0
78,9000000077,1000000077,874,2,1,1,1,840880,840880,842320,PICKUP,-1,SHIPPED,0.0
79,9000000078,1000000078,814,1,-1,-1,2367,892664,894104,898424,Correo Argentino,TRK-N8XZ4OSU2M,DELIVERED,0.0
80,9000000079,1000000079,1189,1,-1,-1,840,1251537,1252977,1258737,Correo Argentino,TRK-XADN2TVDNH,SHIPPED,1200.0
81,9000000080,1000000080,584,1,-1,-1,69,806789,808229,815429,Correo Argentino,TRK-S1OQO0J4EA,DELIVERED,900.0
82,9000000081,1000000081,1433,1,-1,-1,953,926026,927466,931786,Correo Argentino,TRK-LSXL8NV9UZ,DELIVERED,900.0
83,9000000082,1000000082,670,1,-1,-1,3103,1259188,1260628,1264948,Correo Argentino,TRK-4U2I1W5ENR,DELIVERED,1200.0
84,9000000083,1000000083,464,1,-1,-1,842,411468,412908,418668,Correo Argentino,TRK-3QNYBMC06W,DELIVERED,1200.0
85,9000000084,1000000084,535,1,-1,-1,153,827427,828867,833187,Correo Argentino,TRK-LWD8M7AMND,SHIPPED,900.0
86,9000000085,1000000085,655,1,-1,-1,2185,964979,966419,969299,Correo Argentino,TRK-0RBFVTM6X4,DELIVERED,1500.0
87,9000000086,1000000086,833,1,-1,-1,2251,1210253,1211693,1214573,Correo Argentino,TRK-A169DTQM73,DELIVERED,1200.0
88,9000000087,1000000087,490,1,-1,-1,1449,852774,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
89,9000000088,1000000088,360,1,-1,-1,1460,401159,402599,409799,Correo Argentino,TRK-TBUL818CS4,DELIVERED,900.0
90,9000000089,1000000089,1227,1,-1,-1,1176,1122490,1123930,1128250,Correo Argentino,TRK-BJOJ02WY0U,DELIVERED,1200.0
91,9000000090,1000000090,624,1,-1,-1,38,391412,392852,398612,Correo Argentino,TRK-E1JQQXF2A8,DELIVERED,900.0
92,9000000091,1000000091,228,1,-1,-1,2302,421573,423013,425893,Correo Argentino,TRK-9YZ6V1VTIX,DELIVERED,0.0
93,9000000092,1000000092,770,1,-1,-1,776,589787,591227,594107,Correo Argentino,TRK-UO5Q5LF7GD,DELIVERED,900.0
94,9000000093,1000000093,54,2,2,2,2,812127,812127,813567,PICKUP,-1,DELIVERED,0.0
95,9000000094,1000000094,1006,2,4,4,4,872826,872826,874266,PICKUP,-1,SHIPPED,0.0
96,9000000095,1000000095,247,1,-1,-1,1295,1265430,1266870,1272630,Correo Argentino,TRK-RRS7KQI5WW,DELIVERED,1200.0
97,9000000096,1000000096,1127,2,3,3,3,1084964,1084964,1086404,PICKUP,-1,DELIVERED,0.0
98,9000000097,1000000097,757,2,2,2,2,588597,588597,590037,PICKUP,-1,DELIVERED,0.0
99,9000000098,1000000098,520,1,-1,-1,2447,901930,903370,910570,Correo Argentino,TRK-N1XL8YRR4C,DELIVERED,900.0
100,9000000099,1000000099,258,1,-1,-1,228,435752,437192,442952,Correo Argentino,TRK-HUON3QASLA,DELIVERED,0.0
101,9000000100,1000000100,467,1,-1,-1,1889,657336,-1,-1,Correo Argentino,-1,CANCELLED,900.0
102,9000000101,1000000101,3,1,-1,-1,223,481126,482566,489766,Correo Argentino,TRK-BD9O45FG3M,SHIPPED,900.0
103,9000000102,1000000102,334,1,-1,-1,2867,818341,819781,825541,Correo Argentino,TRK-RBXP2IU4CP,DELIVERED,1200.0
104,9000000103,1000000103,802,2,3,3,3,473994,473994,475434,PICKUP,-1,READY,0.0
105,9000000104,1000000104,999,1,-1,-1,3052,472136,473576,479336,Correo Argentino,TRK-TPWY0TUZG2,DELIVERED,1200.0
106,9000000105,1000000105,176,1,-1,-1,2444,543148,544588,548908,Correo Argentino,TRK-3BQ6FWSKLW,DELIVERED,1200.0
107,9000000106,1000000106,801,1,-1,-1,2960,935050,936490,939370,Correo Argentino,TRK-6DCLEDO515,DELIVERED,900.0
108,9000000107,1000000107,1113,1,-1,-1,1947,557517,558957,566157,Correo Argentino,TRK-RB1W0XWXVT,DELIVERED,900.0
109,9000000108,1000000108,810,2,4,4,4,1145052,1145052,1146492,PICKUP,-1,DELIVERED,0.0
110,9000000109,1000000109,581,2,4,4,4,514579,514579,516019,PICKUP,-1,DELIVERED,0.0
111,9000000110,1000000110,1284,2,2,2,2,1102874,-1,-1,PICKUP,-1,CANCELLED,0.0
112,9000000111,1000000111,1333,1,-1,-1,1880,863508,864948,870708,Correo Argentino,TRK-UXV2O2QSZO,DELIVERED,1200.0
113,9000000112,1000000112,24,2,2,2,2,964424,964424,965864,PICKUP,-1,SHIPPED,0.0
114,9000000113,1000000113,1222,2,1,1,1,381780,-1,-1,PICKUP,-1,CANCELLED,0.0
115,9000000114,1000000114,63,2,1,1,1,727687,727687,729127,PICKUP,-1,SHIPPED,0.0
116,9000000115,1000000115,1078,1,-1,-1,3,423408,424848,427728,Correo Argentino,TRK-9SFI30M85Y,DELIVERED,1500.0
117,9000000116,1000000116,1091,1,-1,-1,2613,615505,616945,621265,Correo Argentino,TRK-GCUU54HEAG,DELIVERED,1200.0
118,9000000117,1000000117,524,1,-1,-1,1258,907092,908532,912852,Correo Argentino,TRK-YVM19QXR2C,DELIVERED,1200.0
119,9000000118,1000000118,1229,1,-1,-1,2394,1207625,1209065,1211945,Correo Argentino,TRK-JRBNVL0OS3,DELIVERED,900.0
120,9000000119,1000000119,458,2,4,4,4,1162795,1162795,1164235,PICKUP,-1,DELIVERED,0.0
121,9000000120,1000000120,68,1,-1,-1,1657,509622,511062,513942,Correo Argentino,TRK-YMYMMHLK1B,DELIVERED,0.0
122,9000000121,1000000121,959,2,4,4,4,862864,862864,864304,PICKUP,-1,DELIVERED,0.0
123,9000000122,1000000122,356,2,1,1,1,1227778,1227778,1229218,PICKUP,-1,DELIVERED,0.0
124,9000000123,1000000123,530,1,-1,-1,5,1130932,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
125,9000000124,1000000124,1420,1,-1,-1,3008,405376,406816,412576,Correo Argentino,TRK-OUKA4E7YCS,DELIVERED,1200.0
126,9000000125,1000000125,279,2,3,3,3,626897,626897,628337,PICKUP,-1,DELIVERED,0.0
127,9000000126,1000000126,779,2,3,3,3,587665,587665,589105,PICKUP,-1,DELIVERED,0.0
128,9000000127,1000000127,1383,1,-1,-1,2117,437120,438560,444320,Correo Argentino,TRK-LP15TFTZWC,DELIVERED,1200.0
129,9000000128,1000000128,1189,1,-1,-1,1356,1037357,-1,-1,Correo Argentino,-1,CANCELLED,1500.0
130,9000000129,1000000129,1016,1,-1,-1,3040,1254145,1255585,1259905,Correo Argentino,TRK-OTE0Q32RV2,DELIVERED,1500.0
131,9000000130,1000000130,595,2,3,3,3,1081588,1081588,1083028,PICKUP,-1,SHIPPED,0.0
132,9000000131,1000000131,902,2,4,4,4,387565,387565,389005,PICKUP,-1,DELIVERED,0.0
133,9000000132,1000000132,317,1,-1,-1,2546,651924,653364,660564,Correo Argentino,TRK-ZK0XF0TEFY,DELIVERED,1200.0
134,9000000133,1000000133,1229,2,2,2,2,591347,591347,592787,PICKUP,-1,DELIVERED,0.0
135,9000000134,1000000134,279,2,3,3,3,360126,360126,361566,PICKUP,-1,DELIVERED,0.0
136,9000000135,1000000135,1498,2,4,4,4,569256,569256,570696,PICKUP,-1,SHIPPED,0.0
137,9000000136,1000000136,140,1,-1,-1,1773,908371,909811,915571,Correo Argentino,TRK-SB9FYY9V3Z,DELIVERED,0.0
138,9000000137,1000000137,1115,1,-1,-1,2545,813587,815027,822227,Correo Argentino,TRK-8EM2BGA7SC,SHIPPED,0.0
139,9000000138,1000000138,1240,1,-1,-1,1704,356184,357624,363384,Correo Argentino,TRK-W6GIOKOQS8,SHIPPED,1500.0
140,9000000139,1000000139,590,1,-1,-1,1036,492432,493872,501072,Correo Argentino,TRK-Q8P6U5PS47,DELIVERED,1200.0
141,9000000140,1000000140,645,2,3,3,3,948837,948837,950277,PICKUP,-1,DELIVERED,0.0
142,9000000141,1000000141,545,2,1,1,1,835045,835045,836485,PICKUP,-1,DELIVERED,0.0
143,9000000142,1000000142,1208,1,-1,-1,1955,1132653,1134093,1136973,Correo Argentino,TRK-AT0A573HXB,DELIVERED,1500.0
144,9000000143,1000000143,551,2,1,1,1,578940,578940,580380,PICKUP,-1,DELIVERED,0.0
145,9000000144,1000000144,569,2,1,1,1,409711,-1,-1,PICKUP,-1,CANCELLED,0.0
146,9000000145,1000000145,1305,1,-1,-1,3178,1167288,1168728,1174488,Correo Argentino,TRK-5WJ0VSGHJU,DELIVERED,1500.0
147,9000000146,1000000146,280,1,-1,-1,2731,532913,534353,541553,Correo Argentino,TRK-XNALT4U6O3,DELIVERED,900.0
148,9000000147,1000000147,1338,1,-1,-1,1472,845124,846564,853764,Correo Argentino,TRK-TVS9QKJFPY,DELIVERED,900.0
149,9000000148,1000000148,84,1,-1,-1,2447,1127172,1128612,1132932,Correo Argentino,TRK-IAC72SYOJT,DELIVERED,1200.0
150,9000000149,1000000149,655,1,-1,-1,1117,909975,911415,918615,Correo Argentino,TRK-86P5XH4ZUZ,DELIVERED,900.0
151,9000000150,1000000150,513,2,4,4,4,1095801,1095801,1097241,PICKUP,-1,DELIVERED,0.0
152,9000000151,1000000151,884,2,3,3,3,506467,506467,507907,PICKUP,-1,DELIVERED,0.0
153,9000000152,1000000152,385,2,2,2,2,362899,362899,364339,PICKUP,-1,DELIVERED,0.0
154,9000000153,1000000153,723,2,2,2,2,1111257,-1,-1,PICKUP,-1,CANCELLED,0.0
155,9000000154,1000000154,110,2,1,1,1,615663,615663,617103,PICKUP,-1,SHIPPED,0.0
156,9000000155,1000000155,1197,1,-1,-1,3125,413319,414759,420519,Correo Argentino,TRK-MPCEM8ML7K,DELIVERED,900.0
157,9000000156,1000000156,833,2,2,2,2,788599,788599,790039,PICKUP,-1,DELIVERED,0.0
158,9000000157,1000000157,371,2,3,3,3,916791,-1,-1,PICKUP,-1,CANCELLED,0.0
159,9000000158,1000000158,905,2,1,1,1,518378,518378,519818,PICKUP,-1,DELIVERED,0.0
160,9000000159,1000000159,389,1,-1,-1,307,634019,635459,642659,Correo Argentino,TRK-7LRC6G1HAV,DELIVERED,1200.0
161,9000000160,1000000160,1299,2,4,4,4,589590,589590,591030,PICKUP,-1,DELIVERED,0.0
162,9000000161,1000000161,725,1,-1,-1,2912,776192,777632,783392,Correo Argentino,TRK-ZU6O2A2X17,DELIVERED,900.0
163,9000000162,1000000162,645,2,4,4,4,1184901,1184901,1186341,PICKUP,-1,SHIPPED,0.0
164,9000000163,1000000163,584,1,-1,-1,136,431191,432631,438391,Correo Argentino,TRK-U6UA2YY3HB,DELIVERED,900.0
165,9000000164,1000000164,436,1,-1,-1,2762,955099,956539,959419,Correo Argentino,TRK-TMG2PU2NU4,DELIVERED,900.0
166,9000000165,1000000165,293,1,-1,-1,2361,1223047,1224487,1230247,Correo Argentino,TRK-D8V0DBNSG3,DELIVERED,1500.0
167,9000000166,1000000166,1065,1,-1,-1,2496,1179160,1180600,1183480,Correo Argentino,TRK-TTEUGQV2X2,DELIVERED,1200.0
168,9000000167,1000000167,1234,1,-1,-1,2706,905145,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
169,9000000168,1000000168,400,1,-1,-1,2527,434669,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
170,9000000169,1000000169,251,1,-1,-1,1329,626164,627604,634804,Correo Argentino,TRK-NM8H174TJH,DELIVERED,1200.0
171,9000000170,1000000170,764,2,4,4,4,480008,480008,481448,PICKUP,-1,SHIPPED,0.0
172,9000000171,1000000171,1490,1,-1,-1,2557,962726,964166,968486,Correo Argentino,TRK-GZTE0MZNMX,READY,1200.0
173,9000000172,1000000172,181,1,-1,-1,1805,536260,537700,543460,Correo Argentino,TRK-DGOJGP2GBU,DELIVERED,900.0
174,9000000173,1000000173,693,1,-1,-1,1635,1119821,1121261,1128461,Correo Argentino,TRK-VBAXIAQJKB,DELIVERED,1200.0
175,9000000174,1000000174,672,2,2,2,2,712874,712874,714314,PICKUP,-1,DELIVERED,0.0
176,9000000175,1000000175,786,1,-1,-1,2161,571404,572844,577164,Correo Argentino,TRK-WD62JC0VLK,SHIPPED,900.0
177,9000000176,1000000176,1347,2,2,2,2,959474,959474,960914,PICKUP,-1,DELIVERED,0.0
178,9000000177,1000000177,628,1,-1,-1,868,824985,826425,830745,Correo Argentino,TRK-TSU2MSGQGV,DELIVERED,1200.0
179,9000000178,1000000178,1485,2,2,2,2,1055901,1055901,1057341,PICKUP,-1,SHIPPED,0.0
180,9000000179,1000000179,805,1,-1,-1,2735,1201499,1202939,1207259,Correo Argentino,TRK-DOH59G5HG5,DELIVERED,900.0
181,9000000180,1000000180,445,1,-1,-1,753,556305,557745,560625,Correo Argentino,TRK-WTK41NS6CW,DELIVERED,1200.0
182,9000000181,1000000181,560,1,-1,-1,83,808996,810436,813316,Correo Argentino,TRK-2HK5GYIMQ5,DELIVERED,900.0
183,9000000182,1000000182,403,1,-1,-1,2607,715504,716944,727024,Correo Argentino,TRK-3VO06V5F4C,DELIVERED,1200.0
184,9000000183,1000000183,693,2,1,1,1,784263,784263,785703,PICKUP,-1,SHIPPED,0.0
185,9000000184,1000000184,274,2,2,2,2,1067366,1067366,1068806,PICKUP,-1,SHIPPED,0.0
186,9000000185,1000000185,804,1,-1,-1,944,640684,642124,649324,Correo Argentino,TRK-XVT3OPQZDN,DELIVERED,1200.0
187,9000000186,1000000186,1495,1,-1,-1,1364,657692,659132,662012,Correo Argentino,TRK-6LCGCSEFEL,DELIVERED,900.0
188,9000000187,1000000187,48,2,1,1,1,941566,941566,943006,PICKUP,-1,DELIVERED,0.0
189,9000000188,1000000188,661,2,3,3,3,1217880,1217880,1219320,PICKUP,-1,DELIVERED,0.0
190,9000000189,1000000189,984,1,-1,-1,1812,529295,530735,533615,Correo Argentino,TRK-MZ7KO0QL4T,SHIPPED,900.0
191,9000000190,1000000190,1384,1,-1,-1,1972,578416,579856,587056,Correo Argentino,TRK-X696GHSKZW,SHIPPED,0.0
192,9000000191,1000000191,788,1,-1,-1,206,1252561,-1,-1,Correo Argentino,-1,CANCELLED,0.0
193,9000000192,1000000192,456,2,2,2,2,450289,450289,451729,PICKUP,-1,SHIPPED,0.0
194,9000000193,1000000193,427,1,-1,-1,695,417865,419305,423625,Correo Argentino,TRK-N0C9SM2QFJ,DELIVERED,1200.0
195,9000000194,1000000194,866,1,-1,-1,2574,1247899,1249339,1256539,Correo Argentino,TRK-7MYF01NWQ1,DELIVERED,0.0
196,9000000195,1000000195,371,1,-1,-1,600,963713,965153,970913,Correo Argentino,TRK-5950NTLRAC,DELIVERED,1200.0
197,9000000196,1000000196,1000,1,-1,-1,1384,1205186,1206626,1209506,Correo Argentino,TRK-3RJ4BIOHK0,DELIVERED,1200.0
198,9000000197,1000000197,1404,1,-1,-1,795,495410,496850,499730,Correo Argentino,TRK-M0DL4YCPUU,DELIVERED,1200.0
199,9000000198,1000000198,1159,1,-1,-1,788,401062,402502,406822,Correo Argentino,TRK-XPU46U15UT,DELIVERED,900.0
200,9000000199,1000000199,1040,1,-1,-1,2797,991530,992970,1000170,Correo Argentino,TRK-O91D35I9X4,DELIVERED,1200.0
201,9000000200,1000000200,464,1,-1,-1,2537,739681,741121,745441,Correo Argentino,TRK-LSZKZN0LYI,DELIVERED,900.0
202,9000000201,1000000201,166,1,-1,-1,2941,814910,816350,820670,Correo Argentino,TRK-WPOOZWRSXF,DELIVERED,1200.0
203,9000000202,1000000202,1056,2,3,3,3,1003211,1003211,1004651,PICKUP,-1,DELIVERED,0.0
204,9000000203,1000000203,925,2,3,3,3,816468,816468,817908,PICKUP,-1,DELIVERED,0.0
205,9000000204,1000000204,488,1,-1,-1,257,918004,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
206,9000000205,1000000205,903,1,-1,-1,898,746560,748000,753760,Correo Argentino,TRK-Q495C57TPW,DELIVERED,0.0
207,9000000206,1000000206,70,1,-1,-1,1092,1176898,1178338,1184098,Correo Argentino,TRK-YOZRB7EYB4,SHIPPED,1200.0
208,9000000207,1000000207,1459,1,-1,-1,1330,1061791,1063231,1066111,Correo Argentino,TRK-MXL244VRBJ,DELIVERED,900.0
209,9000000208,1000000208,500,2,2,2,2,1025049,1025049,1026489,PICKUP,-1,DELIVERED,0.0
210,9000000209,1000000209,361,1,-1,-1,1297,1012477,1013917,1016797,Correo Argentino,TRK-QS7JP1ILRI,DELIVERED,1200.0
211,9000000210,1000000210,476,1,-1,-1,2590,993081,994521,997401,Correo Argentino,TRK-HMK0UFUCGU,DELIVERED,1500.0
212,9000000211,1000000211,1400,2,1,1,1,1167835,1167835,1169275,PICKUP,-1,DELIVERED,0.0
213,9000000212,1000000212,945,1,-1,-1,886,949793,951233,956993,Correo Argentino,TRK-EI5CQOM3OQ,DELIVERED,900.0
214,9000000213,1000000213,1443,1,-1,-1,900,505580,507020,511340,Correo Argentino,TRK-JVXGL1QGOU,DELIVERED,1500.0
215,9000000214,1000000214,1430,1,-1,-1,2687,642223,643663,646543,Correo Argentino,TRK-3LP62TMLP0,DELIVERED,900.0
216,9000000215,1000000215,1330,1,-1,-1,1579,394271,395711,401471,Correo Argentino,TRK-W5E1QML5MQ,DELIVERED,900.0
217,9000000216,1000000216,274,1,-1,-1,506,1066356,1067796,1074996,Correo Argentino,TRK-AYM9Q11ZOD,DELIVERED,900.0
218,9000000217,1000000217,1251,2,2,2,2,490209,490209,491649,PICKUP,-1,DELIVERED,0.0
219,9000000218,1000000218,176,1,-1,-1,550,620158,621598,627358,Correo Argentino,TRK-CP4OTN8HPB,DELIVERED,1200.0
220,9000000219,1000000219,42,2,2,2,2,588689,588689,590129,PICKUP,-1,SHIPPED,0.0
221,9000000220,1000000220,582,1,-1,-1,1933,1258704,1260144,1265904,Correo Argentino,TRK-C1TLW78F6M,DELIVERED,900.0
222,9000000221,1000000221,4,2,1,1,1,1061755,1061755,1063195,PICKUP,-1,DELIVERED,0.0
