order_item_sk,order_item_id,order_id,product_sk,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,quantity,unit_price,discount_amount,line_total,status,currency_code,tax_amount,shipping_fee
40,5000000039,1000000023,2,379,2,3,3,3,1147423,2,15000.0,3000.0,27000.0,FULFILLED,ARS,14364.0,0.0
41,5000000040,1000000024,1,441,2,2,2,2,967198,1,12000.0,240.0,11760.0,FULFILLED,ARS,2469.6,0.0
42,5000000041,1000000025,2,125,1,-1,-1,516,1221538,3,15750.0,2362.5,44887.5,FULFILLED,ARS,14718.38,1200.0
43,5000000042,1000000025,1,125,1,-1,-1,516,1221538,2,12600.0,0.0,25200.0,FULFILLED,ARS,14718.38,1200.0
44,5000000043,1000000026,2,1201,1,-1,-1,301,852480,1,15000.0,1500.0,13500.0,FULFILLED,ARS,2835.0,1200.0
45,5000000044,1000000027,1,1055,1,-1,-1,1862,836745,2,12000.0,1200.0,22800.0,FULFILLED,ARS,4788.0,900.0
46,5000000045,1000000028,1,382,1,-1,-1,1423,550452,1,12000.0,0.0,12000.0,FULFILLED,ARS,2520.0,0.0
47,5000000046,1000000029,2,1456,1,-1,-1,1425,1248644,2,16500.0,660.0,32340.0,FULFILLED,ARS,13595.4,900.0
48,5000000047,1000000029,1,1456,1,-1,-1,1425,1248644,3,12000.0,3600.0,32400.0,FULFILLED,ARS,13595.4,900.0
49,5000000048,1000000030,1,1377,2,4,4,4,1109943,3,12000.0,1800.0,34200.0,PAID,ARS,7182.0,0.0
50,5000000049,1000000031,1,1375,2,4,4,4,1066276,2,12000.0,480.0,23520.0,PAID,ARS,4939.2,0.0
51,5000000050,1000000032,2,821,1,-1,-1,924,985838,2,15000.0,3000.0,27000.0,FULFILLED,ARS,5670.0,1200.0
52,5000000051,1000000033,2,1475,2,4,4,4,581964,1,15000.0,300.0,14700.0,FULFILLED,ARS,3087.0,0.0
53,5000000052,1000000034,2,634,2,2,2,2,815125,3,15750.0,2362.5,44887.5,FULFILLED,ARS,17931.38,0.0
54,5000000053,1000000034,2,634,2,2,2,2,815125,3,15000.0,4500.0,40500.0,FULFILLED,ARS,17931.38,0.0
55,5000000054,1000000035,1,585,2,1,1,1,368995,2,12000.0,2400.0,21600.0,FULFILLED,ARS,4536.0,0.0
56,5000000055,1000000036,1,180,1,-1,-1,1863,738420,2,12000.0,1200.0,22800.0,FULFILLED,ARS,10458.0,900.0
57,5000000056,1000000036,2,180,1,-1,-1,1863,738420,2,15000.0,3000.0,27000.0,FULFILLED,ARS,10458.0,900.0
58,5000000057,1000000037,1,482,1,-1,-1,2325,388808,2,12600.0,504.0,24696.0,FULFILLED,ARS,5186.16,1200.0
59,5000000058,1000000038,1,620,2,1,1,1,400230,1,12000.0,240.0,11760.0,FULFILLED,ARS,2469.6,0.0
60,5000000059,1000000039,1,603,2,1,1,1,559003,3,10800.0,3240.0,29160.0,FULFILLED,ARS,12423.6,0.0
61,5000000060,1000000039,2,603,2,1,1,1,559003,2,15000.0,0.0,30000.0,FULFILLED,ARS,12423.6,0.0
62,5000000061,1000000040,1,1028,1,-1,-1,1149,443939,1,12000.0,600.0,11400.0,CANCELLED,ARS,2394.0,1200.0
63,5000000062,1000000041,2,1005,2,3,3,3,372120,1,15000.0,750.0,14250.0,FULFILLED,ARS,5147.1,0.0
64,5000000063,1000000041,1,1005,2,3,3,3,372120,1,10800.0,540.0,10260.0,FULFILLED,ARS,5147.1,0.0
65,5000000064,1000000042,1,790,1,-1,-1,33,742878,1,10800.0,540.0,10260.0,FULFILLED,ARS,2154.6,1500.0
66,5000000065,1000000043,1,665,1,-1,-1,2043,556487,3,13200.0,0.0,39600.0,PAID,ARS,8316.0,900.0
67,5000000066,1000000044,2,562,1,-1,-1,1135,1231953,2,15000.0,600.0,29400.0,FULFILLED,ARS,15435.0,1500.0
68,5000000067,1000000044,2,562,1,-1,-1,1135,1231953,3,15000.0,900.0,44100.0,FULFILLED,ARS,15435.0,1500.0
69,5000000068,1000000045,1,998,1,-1,-1,1984,398235,3,12000.0,0.0,36000.0,FULFILLED,ARS,7560.0,900.0
70,5000000069,1000000046,2,276,1,-1,-1,493,368822,2,16500.0,0.0,33000.0,FULFILLED,ARS,6930.0,0.0
71,5000000070,1000000047,1,1469,2,2,2,2,449814,1,12000.0,1200.0,10800.0,FULFILLED,ARS,2268.0,0.0
72,5000000071,1000000048,1,408,2,2,2,2,722411,2,12000.0,480.0,23520.0,CREATED,ARS,4939.2,0.0
73,5000000072,1000000049,2,1360,2,2,2,2,675096,3,13500.0,0.0,40500.0,FULFILLED,ARS,8505.0,0.0
74,5000000073,1000000050,2,1423,1,-1,-1,665,649466,2,15000.0,1500.0,28500.0,FULFILLED,ARS,5985.0,1200.0
75,5000000074,1000000051,2,741,1,-1,-1,1867,724691,2,15750.0,630.0,30870.0,FULFILLED,ARS,6482.7,900.0
76,5000000075,1000000052,1,969,1,-1,-1,1612,796513,3,12000.0,720.0,35280.0,FULFILLED,ARS,14817.6,0.0
77,5000000076,1000000052,1,969,1,-1,-1,1612,796513,3,12000.0,720.0,35280.0,FULFILLED,ARS,14817.6,0.0
78,5000000077,1000000053,2,729,1,-1,-1,458,672860,2,15000.0,3000.0,27000.0,CANCELLED,ARS,5670.0,900.0
79,5000000078,1000000054,1,251,2,4,4,4,460940,1,12600.0,252.0,12348.0,PAID,ARS,2593.08,0.0
80,5000000079,1000000055,2,1087,2,1,1,1,1173387,3,15000.0,2250.0,42750.0,PAID,ARS,8977.5,0.0
81,5000000080,1000000056,1,659,1,-1,-1,1891,1026218,2,12000.0,0.0,24000.0,FULFILLED,ARS,14915.25,1200.0
82,5000000081,1000000056,2,659,1,-1,-1,1891,1026218,3,16500.0,2475.0,47025.0,FULFILLED,ARS,14915.25,1200.0
83,5000000082,1000000057,2,338,2,4,4,4,953632,1,15000.0,750.0,14250.0,FULFILLED,ARS,5969.25,0.0
84,5000000083,1000000057,2,338,2,4,4,4,953632,1,15750.0,1575.0,14175.0,FULFILLED,ARS,5969.25,0.0
85,5000000084,1000000058,2,1068,1,-1,-1,2075,733142,1,16500.0,1650.0,14850.0,CANCELLED,ARS,9103.5,1500.0
86,5000000085,1000000058,2,1068,1,-1,-1,2075,733142,2,15000.0,1500.0,28500.0,CANCELLED,ARS,9103.5,1500.0
87,5000000086,1000000059,1,958,1,-1,-1,2539,615687,3,12000.0,1800.0,34200.0,FULFILLED,ARS,13482.0,0.0
88,5000000087,1000000059,2,958,1,-1,-1,2539,615687,2,15000.0,0.0,30000.0,FULFILLED,ARS,13482.0,0.0
89,5000000088,1000000060,1,428,2,4,4,4,433222,3,10800.0,3240.0,29160.0,CANCELLED,ARS,6123.6,0.0
90,5000000089,1000000061,1,1337,1,-1,-1,88,965421,1,12000.0,0.0,12000.0,FULFILLED,ARS,2520.0,1200.0
91,5000000090,1000000062,2,1442,2,3,3,3,867603,3,15000.0,0.0,45000.0,FULFILLED,ARS,9450.0,0.0
92,5000000091,1000000063,1,939,1,-1,-1,410,569418,3,12600.0,756.0,37044.0,FULFILLED,ARS,7779.24,1500.0
93,5000000092,1000000064,2,1409,1,-1,-1,311,970006,1,16500.0,1650.0,14850.0,FULFILLED,ARS,3118.5,1200.0
94,5000000093,1000000065,1,1062,1,-1,-1,1403,727244,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,1200.0
95,5000000094,1000000066,1,988,1,-1,-1,138,389194,3,12000.0,720.0,35280.0,CANCELLED,ARS,7408.8,1200.0
96,5000000095,1000000067,2,778,1,-1,-1,1252,1024824,1,15000.0,300.0,14700.0,REFUNDED,ARS,3087.0,900.0
97,5000000096,1000000068,2,77,1,-1,-1,624,835854,1,15750.0,315.0,15435.0,PAID,ARS,17731.35,0.0
98,5000000097,1000000068,1,77,1,-1,-1,624,835854,2,12000.0,0.0,24000.0,PAID,ARS,17731.35,0.0
99,5000000098,1000000068,2,77,1,-1,-1,624,835854,3,15000.0,0.0,45000.0,PAID,ARS,17731.35,0.0
100,5000000099,1000000069,2,700,1,-1,-1,480,588099,3,15000.0,900.0,44100.0,FULFILLED,ARS,9261.0,0.0
101,5000000100,1000000070,1,425,1,-1,-1,432,1176472,1,12000.0,0.0,12000.0,PAID,ARS,2520.0,900.0
102,5000000101,1000000071,1,1271,2,3,3,3,646201,1,12000.0,240.0,11760.0,FULFILLED,ARS,2469.6,0.0
103,5000000102,1000000072,2,1129,1,-1,-1,2540,399381,1,13500.0,675.0,12825.0,PAID,ARS,2693.25,1500.0
104,5000000103,1000000073,2,1224,1,-1,-1,1123,845119,1,15750.0,315.0,15435.0,PAID,ARS,3241.35,900.0
105,5000000104,1000000074,1,446,1,-1,-1,2068,854202,2,12600.0,1260.0,23940.0,FULFILLED,ARS,11831.4,900.0
106,5000000105,1000000074,1,446,1,-1,-1,2068,854202,3,12000.0,3600.0,32400.0,FULFILLED,ARS,11831.4,900.0
107,5000000106,1000000075,2,867,1,-1,-1,2685,996137,2,15000.0,600.0,29400.0,FULFILLED,ARS,6174.0,900.0
108,5000000107,1000000076,1,127,1,-1,-1,3189,439822,2,12000.0,480.0,23520.0,FULFILLED,ARS,4939.2,1200.0
109,5000000108,1000000077,1,874,2,1,1,1,840880,2,12000.0,480.0,23520.0,PAID,ARS,4939.2,0.0
110,5000000109,1000000078,2,814,1,-1,-1,2367,892664,1,15000.0,750.0,14250.0,FULFILLED,ARS,8536.5,0.0
111,5000000110,1000000078,1,814,1,-1,-1,2367,892664,2,13200.0,0.0,26400.0,FULFILLED,ARS,8536.5,0.0
112,5000000111,1000000079,1,1189,1,-1,-1,840,1251537,1,10800.0,0.0,10800.0,PAID,ARS,6804.0,1200.0
113,5000000112,1000000079,1,1189,1,-1,-1,840,1251537,2,12000.0,2400.0,21600.0,PAID,ARS,6804.0,1200.0
114,5000000113,1000000080,2,584,1,-1,-1,69,806789,1,15000.0,300.0,14700.0,FULFILLED,ARS,3087.0,900.0
115,5000000114,1000000081,1,1433,1,-1,-1,953,926026,2,12000.0,1200.0,22800.0,FULFILLED,ARS,11088.0,900.0
116,5000000115,1000000081,2,1433,1,-1,-1,953,926026,2,15000.0,0.0,30000.0,FULFILLED,ARS,11088.0,900.0
117,5000000116,1000000082,1,670,1,-1,-1,3103,1259188,3,12000.0,1800.0,34200.0,FULFILLED,ARS,7182.0,1200.0
118,5000000117,1000000083,2,464,1,-1,-1,842,411468,1,16500.0,0.0,16500.0,REFUNDED,ARS,8001.0,1200.0
119,5000000118,1000000083,1,464,1,-1,-1,842,411468,2,12000.0,2400.0,21600.0,REFUNDED,ARS,8001.0,1200.0
120,5000000119,1000000084,2,535,1,-1,-1,153,827427,1,15000.0,0.0,15000.0,PAID,ARS,3150.0,900.0
121,5000000120,1000000085,1,655,1,-1,-1,2185,964979,1,12600.0,252.0,12348.0,FULFILLED,ARS,2593.08,1500.0
122,5000000121,1000000086,1,833,1,-1,-1,2251,1210253,1,12000.0,1200.0,10800.0,FULFILLED,ARS,2268.0,1200.0
123,5000000122,1000000087,1,490,1,-1,-1,1449,852774,1,12000.0,600.0,11400.0,CANCELLED,ARS,2394.0,1200.0
124,5000000123,1000000088,2,360,1,-1,-1,1460,401159,2,15000.0,600.0,29400.0,FULFILLED,ARS,11844.0,900.0
125,5000000124,1000000088,2,360,1,-1,-1,1460,401159,2,15000.0,3000.0,27000.0,FULFILLED,ARS,11844.0,900.0
126,5000000125,1000000089,2,1227,1,-1,-1,1176,1122490,1,15000.0,750.0,14250.0,FULFILLED,ARS,2992.5,1200.0
127,5000000126,1000000090,1,624,1,-1,-1,38,391412,2,12000.0,0.0,24000.0,FULFILLED,ARS,7733.25,900.0
128,5000000127,1000000090,2,624,1,-1,-1,38,391412,1,13500.0,675.0,12825.0,FULFILLED,ARS,7733.25,900.0
129,5000000128,1000000091,2,228,1,-1,-1,2302,421573,3,15750.0,2362.5,44887.5,FULFILLED,ARS,19150.42,0.0
130,5000000129,1000000091,2,228,1,-1,-1,2302,421573,3,15750.0,945.0,46305.0,FULFILLED,ARS,19150.42,0.0
131,5000000130,1000000092,2,770,1,-1,-1,776,589787,2,15000.0,0.0,30000.0,FULFILLED,ARS,6300.0,900.0
132,5000000131,1000000093,2,54,2,2,2,2,812127,3,15000.0,0.0,45000.0,FULFILLED,ARS,17781.75,0.0
133,5000000132,1000000093,1,54,2,2,2,2,812127,2,12000.0,0.0,24000.0,FULFILLED,ARS,17781.75,0.0
134,5000000133,1000000093,2,54,2,2,2,2,812127,1,16500.0,825.0,15675.0,FULFILLED,ARS,17781.75,0.0
135,5000000134,1000000094,1,1006,2,4,4,4,872826,3,12000.0,1800.0,34200.0,PAID,ARS,15687.0,0.0
136,5000000135,1000000094,2,1006,2,4,4,4,872826,3,13500.0,0.0,40500.0,PAID,ARS,15687.0,0.0
137,5000000136,1000000095,2,247,1,-1,-1,1295,1265430,3,16500.0,990.0,48510.0,FULFILLED,ARS,10187.1,1200.0
138,5000000137,1000000096,1,1127,2,3,3,3,1084964,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,0.0
139,5000000138,1000000097,2,757,2,2,2,2,588597,1,15750.0,315.0,15435.0,FULFILLED,ARS,3241.35,0.0
140,5000000139,1000000098,1,520,1,-1,-1,2447,901930,3,12600.0,1890.0,35910.0,FULFILLED,ARS,7541.1,900.0
141,5000000140,1000000099,1,258,1,-1,-1,228,435752,1,12000.0,0.0,12000.0,FULFILLED,ARS,2520.0,0.0
142,5000000141,1000000100,1,467,1,-1,-1,1889,657336,1,10800.0,0.0,10800.0,CANCELLED,ARS,4861.08,900.0
143,5000000142,1000000100,1,467,1,-1,-1,1889,657336,1,12600.0,252.0,12348.0,CANCELLED,ARS,4861.08,900.0
144,5000000143,1000000101,1,3,1,-1,-1,223,481126,3,12000.0,0.0,36000.0,PAID,ARS,7560.0,900.0
145,5000000144,1000000102,1,334,1,-1,-1,2867,818341,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,1200.0
146,5000000145,1000000103,1,802,2,3,3,3,473994,3,10800.0,1620.0,30780.0,CREATED,ARS,6463.8,0.0
147,5000000146,1000000104,2,999,1,-1,-1,3052,472136,2,15000.0,0.0,30000.0,REFUNDED,ARS,6300.0,1200.0
148,5000000147,1000000105,1,176,1,-1,-1,2444,543148,2,12000.0,2400.0,21600.0,FULFILLED,ARS,4536.0,1200.0
149,5000000148,1000000106,2,801,1,-1,-1,2960,935050,1,15000.0,0.0,15000.0,FULFILLED,ARS,3150.0,900.0
150,5000000149,1000000107,1,1113,1,-1,-1,1947,557517,3,12600.0,3780.0,34020.0,FULFILLED,ARS,7144.2,900.0
151,5000000150,1000000108,2,810,2,4,4,4,1145052,3,15750.0,945.0,46305.0,FULFILLED,ARS,9724.05,0.0
152,5000000151,1000000109,1,581,2,4,4,4,514579,2,12000.0,2400.0,21600.0,FULFILLED,ARS,6930.0,0.0
153,5000000152,1000000109,1,581,2,4,4,4,514579,1,12000.0,600.0,11400.0,FULFILLED,ARS,6930.0,0.0
154,5000000153,1000000110,1,1284,2,2,2,2,1102874,2,12000.0,480.0,23520.0,CANCELLED,ARS,14294.7,0.0
155,5000000154,1000000110,2,1284,2,2,2,2,1102874,3,16500.0,4950.0,44550.0,CANCELLED,ARS,14294.7,0.0
156,5000000155,1000000111,2,1333,1,-1,-1,1880,863508,1,15750.0,315.0,15435.0,FULFILLED,ARS,3241.35,1200.0
157,5000000156,1000000112,1,24,2,2,2,2,964424,3,12600.0,3780.0,34020.0,PAID,ARS,16121.7,0.0
158,5000000157,1000000112,2,24,2,2,2,2,964424,3,15000.0,2250.0,42750.0,PAID,ARS,16121.7,0.0
159,5000000158,1000000113,1,1222,2,1,1,1,381780,1,13200.0,264.0,12936.0,CANCELLED,ARS,2716.56,0.0
160,5000000159,1000000114,1,63,2,1,1,1,727687,1,10800.0,1080.0,9720.0,PAID,ARS,2041.2,0.0
161,5000000160,1000000115,1,1078,1,-1,-1,3,423408,2,12000.0,2400.0,21600.0,REFUNDED,ARS,4536.0,1500.0
162,5000000161,1000000116,1,1091,1,-1,-1,2613,615505,3,13200.0,0.0,39600.0,FULFILLED,ARS,8316.0,1200.0
163,5000000162,1000000117,1,524,1,-1,-1,1258,907092,2,12000.0,0.0,24000.0,FULFILLED,ARS,5040.0,1200.0
164,5000000163,1000000118,1,1229,1,-1,-1,2394,1207625,3,13200.0,792.0,38808.0,FULFILLED,ARS,8149.68,900.0
165,5000000164,1000000119,2,458,2,4,4,4,1162795,1,15000.0,300.0,14700.0,FULFILLED,ARS,3087.0,0.0
166,5000000165,1000000120,1,68,1,-1,-1,1657,509622,1,12000.0,240.0,11760.0,FULFILLED,ARS,2469.6,0.0
167,5000000166,1000000121,1,959,2,4,4,4,862864,3,13200.0,1980.0,37620.0,FULFILLED,ARS,7900.2,0.0
168,5000000167,1000000122,1,356,2,1,1,1,1227778,3,12000.0,0.0,36000.0,FULFILLED,ARS,7560.0,0.0
169,5000000168,1000000123,2,530,1,-1,-1,5,1130932,1,15000.0,300.0,14700.0,CANCELLED,ARS,3087.0,1200.0
170,5000000169,1000000124,1,1420,1,-1,-1,3008,405376,1,10800.0,216.0,10584.0,FULFILLED,ARS,11483.64,1200.0
171,5000000170,1000000124,2,1420,1,-1,-1,3008,405376,3,15000.0,900.0,44100.0,FULFILLED,ARS,11483.64,1200.0
172,5000000171,1000000125,2,279,2,3,3,3,626897,3,15000.0,4500.0,40500.0,FULFILLED,ARS,10773.0,0.0
173,5000000172,1000000125,1,279,2,3,3,3,626897,1,12000.0,1200.0,10800.0,FULFILLED,ARS,10773.0,0.0
174,5000000173,1000000126,2,779,2,3,3,3,587665,1,15000.0,0.0,15000.0,FULFILLED,ARS,3150.0,0.0
175,5000000174,1000000127,2,1383,1,-1,-1,2117,437120,2,15000.0,1500.0,28500.0,FULFILLED,ARS,11938.5,1200.0
176,5000000175,1000000127,2,1383,1,-1,-1,2117,437120,2,15750.0,3150.0,28350.0,FULFILLED,ARS,11938.5,1200.0
177,5000000176,1000000128,1,1189,1,-1,-1,1356,1037357,1,10800.0,1080.0,9720.0,CANCELLED,ARS,17350.2,1500.0
178,5000000177,1000000128,2,1189,1,-1,-1,1356,1037357,3,15000.0,4500.0,40500.0,CANCELLED,ARS,17350.2,1500.0
179,5000000178,1000000128,1,1189,1,-1,-1,1356,1037357,3,12000.0,3600.0,32400.0,CANCELLED,ARS,17350.2,1500.0
180,5000000179,1000000129,1,1016,1,-1,-1,3040,1254145,3,12000.0,720.0,35280.0,FULFILLED,ARS,13078.8,1500.0
181,5000000180,1000000129,2,1016,1,-1,-1,3040,1254145,2,15000.0,3000.0,27000.0,FULFILLED,ARS,13078.8,1500.0
182,5000000181,1000000130,2,595,2,3,3,3,1081588,1,13500.0,1350.0,12150.0,PAID,ARS,2551.5,0.0
183,5000000182,1000000131,1,902,2,4,4,4,387565,3,13200.0,0.0,39600.0,FULFILLED,ARS,8316.0,0.0
184,5000000183,1000000132,2,317,1,-1,-1,2546,651924,2,13500.0,540.0,26460.0,FULFILLED,ARS,5556.6,1200.0
185,5000000184,1000000133,2,1229,2,2,2,2,591347,1,15000.0,0.0,15000.0,FULFILLED,ARS,3150.0,0.0
186,5000000185,1000000134,1,279,2,3,3,3,360126,3,12000.0,720.0,35280.0,FULFILLED,ARS,13078.8,0.0
187,5000000186,1000000134,2,279,2,3,3,3,360126,2,15000.0,3000.0,27000.0,FULFILLED,ARS,13078.8,0.0
188,5000000187,1000000135,1,1498,2,4,4,4,569256,1,12000.0,600.0,11400.0,PAID,ARS,6930.0,0.0
189,5000000188,1000000135,1,1498,2,4,4,4,569256,2,10800.0,0.0,21600.0,PAID,ARS,6930.0,0.0
190,5000000189,1000000136,2,140,1,-1,-1,1773,908371,2,15000.0,1500.0,28500.0,FULFILLED,ARS,5985.0,0.0
191,5000000190,1000000137,1,1115,1,-1,-1,2545,813587,1,12000.0,240.0,11760.0,PAID,ARS,2469.6,0.0
192,5000000191,1000000138,1,1240,1,-1,-1,1704,356184,3,12000.0,1800.0,34200.0,PAID,ARS,7182.0,1500.0
193,5000000192,1000000139,2,590,1,-1,-1,1036,492432,1,15000.0,1500.0,13500.0,FULFILLED,ARS,2835.0,1200.0
194,5000000193,1000000140,2,645,2,3,3,3,948837,1,13500.0,270.0,13230.0,FULFILLED,ARS,2778.3,0.0
195,5000000194,1000000141,1,545,2,1,1,1,835045,1,13200.0,1320.0,11880.0,REFUNDED,ARS,2494.8,0.0
196,5000000195,1000000142,2,1208,1,-1,-1,1955,1132653,1,15000.0,750.0,14250.0,REFUNDED,ARS,10648.26,1500.0
197,5000000196,1000000142,1,1208,1,-1,-1,1955,1132653,1,13200.0,264.0,12936.0,REFUNDED,ARS,10648.26,1500.0
198,5000000197,1000000142,1,1208,1,-1,-1,1955,1132653,2,12000.0,480.0,23520.0,REFUNDED,ARS,10648.26,1500.0
199,5000000198,1000000143,1,551,2,1,1,1,578940,3,12000.0,1800.0,34200.0,FULFILLED,ARS,13986.0,0.0
200,5000000199,1000000143,1,551,2,1,1,1,578940,3,12000.0,3600.0,32400.0,FULFILLED,ARS,13986.0,0.0
201,5000000200,1000000144,2,569,2,1,1,1,409711,2,16500.0,3300.0,29700.0,CANCELLED,ARS,6237.0,0.0
202,5000000201,1000000145,2,1305,1,-1,-1,3178,1167288,2,15000.0,0.0,30000.0,FULFILLED,ARS,6300.0,1500.0
203,5000000202,1000000146,2,280,1,-1,-1,2731,532913,3,15750.0,2362.5,44887.5,FULFILLED,ARS,17364.38,900.0
204,5000000203,1000000146,1,280,1,-1,-1,2731,532913,3,12600.0,0.0,37800.0,FULFILLED,ARS,17364.38,900.0
205,5000000204,1000000147,2,1338,1,-1,-1,1472,845124,2,16500.0,660.0,32340.0,FULFILLED,ARS,12461.4,900.0
206,5000000205,1000000147,2,1338,1,-1,-1,1472,845124,2,15000.0,3000.0,27000.0,FULFILLED,ARS,12461.4,900.0
207,5000000206,1000000148,1,84,1,-1,-1,2447,1127172,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,1200.0
208,5000000207,1000000149,2,655,1,-1,-1,1117,909975,1,15000.0,1500.0,13500.0,FULFILLED,ARS,2835.0,900.0
209,5000000208,1000000150,2,513,2,4,4,4,1095801,2,16500.0,660.0,32340.0,FULFILLED,ARS,6791.4,0.0
210,5000000209,1000000151,1,884,2,3,3,3,506467,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,0.0
