order_sk,order_id,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
79,1000000078,814,1,-1,-1,2367,892664,FULFILLED,ARS,40650.0,8536.5,0.0,49186.5
80,1000000079,1189,1,-1,-1,840,1251537,PAID,ARS,32400.0,6804.0,1200.0,40404.0
81,1000000080,584,1,-1,-1,69,806789,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
82,1000000081,1433,1,-1,-1,953,926026,FULFILLED,ARS,52800.0,11088.0,900.0,64788.0
83,1000000082,670,1,-1,-1,3103,1259188,FULFILLED,ARS,34200.0,7182.0,1200.0,42582.0
84,1000000083,464,1,-1,-1,842,411468,REFUNDED,ARS,38100.0,8001.0,1200.0,47301.0
85,1000000084,535,1,-1,-1,153,827427,PAID,ARS,15000.0,3150.0,900.0,19050.0
86,1000000085,655,1,-1,-1,2185,964979,FULFILLED,ARS,12348.0,2593.08,1500.0,16441.08
87,1000000086,833,1,-1,-1,2251,1210253,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
88,1000000087,490,1,-1,-1,1449,852774,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
89,1000000088,360,1,-1,-1,1460,401159,FULFILLED,ARS,56400.0,11844.0,900.0,69144.0
90,1000000089,1227,1,-1,-1,1176,1122490,FULFILLED,ARS,14250.0,2992.5,1200.0,18442.5
91,1000000090,624,1,-1,-1,38,391412,FULFILLED,ARS,36825.0,7733.25,900.0,45458.25
92,1000000091,228,1,-1,-1,2302,421573,FULFILLED,ARS,91192.5,19150.42,0.0,110342.92
93,1000000092,770,1,-1,-1,776,589787,FULFILLED,ARS,30000.0,6300.0,900.0,37200.0
94,1000000093,54,2,2,2,2,812127,FULFILLED,ARS,84675.0,17781.75,0.0,102456.75
95,1000000094,1006,2,4,4,4,872826,PAID,ARS,74700.0,15687.0,0.0,90387.0
96,1000000095,247,1,-1,-1,1295,1265430,FULFILLED,ARS,48510.0,10187.1,1200.0,59897.1
97,1000000096,1127,2,3,3,3,1084964,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
98,1000000097,757,2,2,2,2,588597,FULFILLED,ARS,15435.0,3241.35,0.0,18676.35
99,1000000098,520,1,-1,-1,2447,901930,FULFILLED,ARS,35910.0,7541.1,900.0,44351.1
100,1000000099,258,1,-1,-1,228,435752,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
101,1000000100,467,1,-1,-1,1889,657336,CANCELLED,ARS,23148.0,4861.08,900.0,28909.08
102,1000000101,3,1,-1,-1,223,481126,PAID,ARS,36000.0,7560.0,900.0,44460.0
103,1000000102,334,1,-1,-1,2867,818341,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
104,1000000103,802,2,3,3,3,473994,CREATED,ARS,30780.0,6463.8,0.0,37243.8
105,1000000104,999,1,-1,-1,3052,472136,REFUNDED,ARS,30000.0,6300.0,1200.0,37500.0
106,1000000105,176,1,-1,-1,2444,543148,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
107,1000000106,801,1,-1,-1,2960,935050,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
108,1000000107,1113,1,-1,-1,1947,557517,FULFILLED,ARS,34020.0,7144.2,900.0,42064.2
109,1000000108,810,2,4,4,4,1145052,FULFILLED,ARS,46305.0,9724.05,0.0,56029.05
110,1000000109,581,2,4,4,4,514579,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
111,1000000110,1284,2,2,2,2,1102874,CANCELLED,ARS,68070.0,14294.7,0.0,82364.7
112,1000000111,1333,1,-1,-1,1880,863508,FULFILLED,ARS,15435.0,3241.35,1200.0,19876.35
113,1000000112,24,2,2,2,2,964424,PAID,ARS,76770.0,16121.7,0.0,92891.7
114,1000000113,1222,2,1,1,1,381780,CANCELLED,ARS,12936.0,2716.56,0.0,15652.56
115,1000000114,63,2,1,1,1,727687,PAID,ARS,9720.0,2041.2,0.0,11761.2
116,1000000115,1078,1,-1,-1,3,423408,REFUNDED,ARS,21600.0,4536.0,1500.0,27636.0
117,1000000116,1091,1,-1,-1,2613,615505,FULFILLED,ARS,39600.0,8316.0,1200.0,49116.0
118,1000000117,524,1,-1,-1,1258,907092,FULFILLED,ARS,24000.0,5040.0,1200.0,30240.0
119,1000000118,1229,1,-1,-1,2394,1207625,FULFILLED,ARS,38808.0,8149.68,900.0,47857.68
120,1000000119,458,2,4,4,4,1162795,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
121,1000000120,68,1,-1,-1,1657,509622,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
122,1000000121,959,2,4,4,4,862864,FULFILLED,ARS,37620.0,7900.2,0.0,45520.2
123,1000000122,356,2,1,1,1,1227778,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
124,1000000123,530,1,-1,-1,5,1130932,CANCELLED,ARS,14700.0,3087.0,1200.0,18987.0
125,1000000124,1420,1,-1,-1,3008,405376,FULFILLED,ARS,54684.0,11483.64,1200.0,67367.64
126,1000000125,279,2,3,3,3,626897,FULFILLED,ARS,51300.0,10773.0,0.0,62073.0
127,1000000126,779,2,3,3,3,587665,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
128,1000000127,1383,1,-1,-1,2117,437120,FULFILLED,ARS,56850.0,11938.5,1200.0,69988.5
129,1000000128,1189,1,-1,-1,1356,1037357,CANCELLED,ARS,82620.0,17350.2,1500.0,101470.2
130,1000000129,1016,1,-1,-1,3040,1254145,FULFILLED,ARS,62280.0,13078.8,1500.0,76858.8
131,1000000130,595,2,3,3,3,1081588,PAID,ARS,12150.0,2551.5,0.0,14701.5
132,1000000131,902,2,4,4,4,387565,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
133,1000000132,317,1,-1,-1,2546,651924,FULFILLED,ARS,26460.0,5556.6,1200.0,33216.6
134,1000000133,1229,2,2,2,2,591347,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
135,1000000134,279,2,3,3,3,360126,FULFILLED,ARS,62280.0,13078.8,0.0,75358.8
136,1000000135,1498,2,4,4,4,569256,PAID,ARS,33000.0,6930.0,0.0,39930.0
137,1000000136,140,1,-1,-1,1773,908371,FULFILLED,ARS,28500.0,5985.0,0.0,34485.0
138,1000000137,1115,1,-1,-1,2545,813587,PAID,ARS,11760.0,2469.6,0.0,14229.6
139,1000000138,1240,1,-1,-1,1704,356184,PAID,ARS,34200.0,7182.0,1500.0,42882.0
140,1000000139,590,1,-1,-1,1036,492432,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
141,1000000140,645,2,3,3,3,948837,FULFILLED,ARS,13230.0,2778.3,0.0,16008.3
142,1000000141,545,2,1,1,1,835045,REFUNDED,ARS,11880.0,2494.8,0.0,14374.8
143,1000000142,1208,1,-1,-1,1955,1132653,REFUNDED,ARS,50706.0,10648.26,1500.0,62854.26
144,1000000143,551,2,1,1,1,578940,FULFILLED,ARS,66600.0,13986.0,0.0,80586.0
145,1000000144,569,2,1,1,1,409711,CANCELLED,ARS,29700.0,6237.0,0.0,35937.0
146,1000000145,1305,1,-1,-1,3178,1167288,FULFILLED,ARS,30000.0,6300.0,1500.0,37800.0
147,1000000146,280,1,-1,-1,2731,532913,FULFILLED,ARS,82687.5,17364.38,900.0,100951.88
148,1000000147,1338,1,-1,-1,1472,845124,FULFILLED,ARS,59340.0,12461.4,900.0,72701.4
149,1000000148,84,1,-1,-1,2447,1127172,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
150,1000000149,655,1,-1,-1,1117,909975,FULFILLED,ARS,13500.0,2835.0,900.0,17235.0
151,1000000150,513,2,4,4,4,1095801,FULFILLED,ARS,32340.0,6791.4,0.0,39131.4
152,1000000151,884,2,3,3,3,506467,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
153,1000000152,385,2,2,2,2,362899,FULFILLED,ARS,9720.0,2041.2,0.0,11761.2
154,1000000153,723,2,2,2,2,1111257,CANCELLED,ARS,10800.0,2268.0,0.0,13068.0
155,1000000154,110,2,1,1,1,615663,PAID,ARS,42525.0,8930.25,0.0,51455.25
156,1000000155,1197,1,-1,-1,3125,413319,FULFILLED,ARS,12000.0,2520.0,900.0,15420.0
157,1000000156,833,2,2,2,2,788599,FULFILLED,ARS,42750.0,8977.5,0.0,51727.5
158,1000000157,371,2,3,3,3,916791,CANCELLED,ARS,59250.0,12442.5,0.0,71692.5
159,1000000158,905,2,1,1,1,518378,FULFILLED,ARS,30000.0,6300.0,0.0,36300.0
160,1000000159,389,1,-1,-1,307,634019,FULFILLED,ARS,12348.0,2593.08,1200.0,16141.08
161,1000000160,1299,2,4,4,4,589590,FULFILLED,ARS,29400.0,6174.0,0.0,35574.0
162,1000000161,725,1,-1,-1,2912,776192,FULFILLED,ARS,45000.0,9450.0,900.0,55350.0
163,1000000162,645,2,4,4,4,1184901,PAID,ARS,22800.0,4788.0,0.0,27588.0
164,1000000163,584,1,-1,-1,136,431191,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
165,1000000164,436,1,-1,-1,2762,955099,FULFILLED,ARS,63000.0,13230.0,900.0,77130.0
166,1000000165,293,1,-1,-1,2361,1223047,FULFILLED,ARS,23520.0,4939.2,1500.0,29959.2
167,1000000166,1065,1,-1,-1,2496,1179160,FULFILLED,ARS,43425.0,9119.25,1200.0,53744.25
168,1000000167,1234,1,-1,-1,2706,905145,CANCELLED,ARS,47085.0,9887.85,1200.0,58172.85
169,1000000168,400,1,-1,-1,2527,434669,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
170,1000000169,251,1,-1,-1,1329,626164,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
171,1000000170,764,2,4,4,4,480008,PAID,ARS,30000.0,6300.0,0.0,36300.0
172,1000000171,1490,1,-1,-1,2557,962726,CREATED,ARS,11760.0,2469.6,1200.0,15429.6
173,1000000172,181,1,-1,-1,1805,536260,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
174,1000000173,693,1,-1,-1,1635,1119821,FULFILLED,ARS,31500.0,6615.0,1200.0,39315.0
175,1000000174,672,2,2,2,2,712874,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
176,1000000175,786,1,-1,-1,2161,571404,PAID,ARS,12000.0,2520.0,900.0,15420.0
177,1000000176,1347,2,2,2,2,959474,FULFILLED,ARS,14850.0,3118.5,0.0,17968.5
178,1000000177,628,1,-1,-1,868,824985,FULFILLED,ARS,12825.0,2693.25,1200.0,16718.25
179,1000000178,1485,2,2,2,2,1055901,PAID,ARS,13500.0,2835.0,0.0,16335.0
180,1000000179,805,1,-1,-1,2735,1201499,FULFILLED,ARS,72600.0,15246.0,900.0,88746.0
181,1000000180,445,1,-1,-1,753,556305,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
182,1000000181,560,1,-1,-1,83,808996,FULFILLED,ARS,23520.0,4939.2,900.0,29359.2
183,1000000182,403,1,-1,-1,2607,715504,FULFILLED,ARS,25080.0,5266.8,1200.0,31546.8
184,1000000183,693,2,1,1,1,784263,PAID,ARS,27000.0,5670.0,0.0,32670.0
185,1000000184,274,2,2,2,2,1067366,PAID,ARS,13500.0,2835.0,0.0,16335.0
186,1000000185,804,1,-1,-1,944,640684,FULFILLED,ARS,59844.0,12567.24,1200.0,73611.24
187,1000000186,1495,1,-1,-1,1364,657692,FULFILLED,ARS,11400.0,2394.0,900.0,14694.0
188,1000000187,48,2,1,1,1,941566,REFUNDED,ARS,32400.0,6804.0,0.0,39204.0
189,1000000188,661,2,3,3,3,1217880,FULFILLED,ARS,27000.0,5670.0,0.0,32670.0
190,1000000189,984,1,-1,-1,1812,529295,PAID,ARS,37044.0,7779.24,900.0,45723.24
191,1000000190,1384,1,-1,-1,1972,578416,PAID,ARS,11760.0,2469.6,0.0,14229.6
192,1000000191,788,1,-1,-1,206,1252561,CANCELLED,ARS,88344.0,18552.24,0.0,106896.24
193,1000000192,456,2,2,2,2,450289,PAID,ARS,12000.0,2520.0,0.0,14520.0
194,1000000193,427,1,-1,-1,695,417865,FULFILLED,ARS,32400.0,6804.0,1200.0,40404.0
195,1000000194,866,1,-1,-1,2574,1247899,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
196,1000000195,371,1,-1,-1,600,963713,FULFILLED,ARS,45840.0,9626.4,1200.0,56666.4
197,1000000196,1000,1,-1,-1,1384,1205186,FULFILLED,ARS,30000.0,6300.0,1200.0,37500.0
198,1000000197,1404,1,-1,-1,795,495410,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
199,1000000198,1159,1,-1,-1,788,401062,FULFILLED,ARS,29160.0,6123.6,900.0,36183.6
200,1000000199,1040,1,-1,-1,2797,991530,FULFILLED,ARS,48000.0,10080.0,1200.0,59280.0
201,1000000200,464,1,-1,-1,2537,739681,FULFILLED,ARS,21600.0,4536.0,900.0,27036.0
202,1000000201,166,1,-1,-1,2941,814910,REFUNDED,ARS,40950.0,8599.5,1200.0,50749.5
203,1000000202,1056,2,3,3,3,1003211,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
204,1000000203,925,2,3,3,3,816468,FULFILLED,ARS,32400.0,6804.0,0.0,39204.0
205,1000000204,488,1,-1,-1,257,918004,CANCELLED,ARS,40500.0,8505.0,1200.0,50205.0
206,1000000205,903,1,-1,-1,898,746560,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
207,1000000206,70,1,-1,-1,1092,1176898,PAID,ARS,23520.0,4939.2,1200.0,29659.2
208,1000000207,1459,1,-1,-1,1330,1061791,FULFILLED,ARS,12348.0,2593.08,900.0,15841.08
209,1000000208,500,2,2,2,2,1025049,FULFILLED,ARS,44550.0,9355.5,0.0,53905.5
210,1000000209,361,1,-1,-1,1297,1012477,FULFILLED,ARS,25200.0,5292.0,1200.0,31692.0
211,1000000210,476,1,-1,-1,2590,993081,FULFILLED,ARS,13500.0,2835.0,1500.0,17835.0
212,1000000211,1400,2,1,1,1,1167835,REFUNDED,ARS,66780.0,14023.8,0.0,80803.8
213,1000000212,945,1,-1,-1,886,949793,FULFILLED,ARS,11760.0,2469.6,900.0,15129.6
214,1000000213,1443,1,-1,-1,900,505580,FULFILLED,ARS,15750.0,3307.5,1500.0,20557.5
215,1000000214,1430,1,-1,-1,2687,642223,FULFILLED,ARS,22680.0,4762.8,900.0,28342.8
216,1000000215,1330,1,-1,-1,1579,394271,FULFILLED,ARS,51015.0,10713.15,900.0,62628.15
217,1000000216,274,1,-1,-1,506,1066356,FULFILLED,ARS,15675.0,3291.75,900.0,19866.75
218,1000000217,1251,2,2,2,2,490209,FULFILLED,ARS,59962.5,12592.12,0.0,72554.62
219,1000000218,176,1,-1,-1,550,620158,FULFILLED,ARS,31860.0,6690.6,1200.0,39750.6
220,1000000219,42,2,2,2,2,588689,PAID,ARS,45000.0,9450.0,0.0,54450.0
221,1000000220,582,1,-1,-1,1933,1258704,FULFILLED,ARS,11400.0,2394.0,900.0,14694.0
222,1000000221,4,2,1,1,1,1061755,FULFILLED,ARS,23520.0,4939.2,0.0,28459.2
223,1000000222,569,2,2,2,2,702061,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
224,1000000223,157,2,1,1,1,868325,PAID,ARS,22680.0,4762.8,0.0,27442.8
225,1000000224,649,1,-1,-1,311,995828,FULFILLED,ARS,40500.0,8505.0,1200.0,50205.0
226,1000000225,1230,1,-1,-1,1403,1191477,FULFILLED,ARS,34020.0,7144.2,0.0,41164.2
227,1000000226,197,1,-1,-1,2867,637633,FULFILLED,ARS,29160.0,6123.6,1200.0,36483.6
228,1000000227,731,1,-1,-1,2594,639355,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
229,1000000228,506,1,-1,-1,2647,1002486,FULFILLED,ARS,35280.0,7408.8,900.0,43588.8
230,1000000229,751,2,2,2,2,1023235,CANCELLED,ARS,13500.0,2835.0,0.0,16335.0
231,1000000230,485,1,-1,-1,1341,876237,FULFILLED,ARS,32400.0,6804.0,900.0,40104.0
232,1000000231,823,1,-1,-1,57,582753,PAID,ARS,47250.0,9922.5,900.0,58072.5
233,1000000232,680,1,-1,-1,1497,954575,PAID,ARS,36936.0,7756.56,1200.0,45892.56
234,1000000233,417,1,-1,-1,2093,818455,FULFILLED,ARS,15000.0,3150.0,900.0,19050.0
235,1000000234,677,1,-1,-1,2205,1092925,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
236,1000000235,1327,2,2,2,2,749421,CANCELLED,ARS,21600.0,4536.0,0.0,26136.0
237,1000000236,593,2,1,1,1,884598,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
238,1000000237,606,2,1,1,1,811864,FULFILLED,ARS,36000.0,7560.0,0.0,43560.0
239,1000000238,137,2,2,2,2,995428,PAID,ARS,21168.0,4445.28,0.0,25613.28
240,1000000239,487,1,-1,-1,1637,425129,FULFILLED,ARS,51660.0,10848.6,900.0,63408.6
241,1000000240,909,1,-1,-1,2066,775770,REFUNDED,ARS,39000.0,8190.0,900.0,48090.0
242,1000000241,179,2,1,1,1,762393,FULFILLED,ARS,59400.0,12474.0,0.0,71874.0
243,1000000242,183,1,-1,-1,2017,1206531,CANCELLED,ARS,37044.0,7779.24,1200.0,46023.24
244,1000000243,536,1,-1,-1,827,1107941,FULFILLED,ARS,16500.0,3465.0,0.0,19965.0
245,1000000244,1341,2,1,1,1,721564,FULFILLED,ARS,20520.0,4309.2,0.0,24829.2
246,1000000245,378,2,1,1,1,1062772,REFUNDED,ARS,40350.0,8473.5,0.0,48823.5
247,1000000246,548,1,-1,-1,537,1267994,CANCELLED,ARS,61650.0,12946.5,0.0,74596.5
248,1000000247,757,1,-1,-1,3131,836807,FULFILLED,ARS,15435.0,3241.35,900.0,19576.35
249,1000000248,522,2,4,4,4,784029,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
250,1000000249,1384,2,3,3,3,510236,FULFILLED,ARS,39600.0,8316.0,0.0,47916.0
251,1000000250,473,1,-1,-1,843,733594,FULFILLED,ARS,42525.0,8930.25,1500.0,52955.25
252,1000000251,1316,2,3,3,3,459596,FULFILLED,ARS,34200.0,7182.0,0.0,41382.0
253,1000000252,1356,2,1,1,1,441690,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
254,1000000253,266,1,-1,-1,1464,1041746,REFUNDED,ARS,46296.0,9722.16,0.0,56018.16
255,1000000254,1359,2,2,2,2,764968,FULFILLED,ARS,21168.0,4445.28,0.0,25613.28
256,1000000255,843,1,-1,-1,2933,676949,FULFILLED,ARS,14700.0,3087.0,900.0,18687.0
257,1000000256,599,1,-1,-1,105,747713,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
258,1000000257,1048,2,1,1,1,1095248,FULFILLED,ARS,57900.0,12159.0,0.0,70059.0
259,1000000258,319,1,-1,-1,3048,872613,FULFILLED,ARS,28500.0,5985.0,900.0,35385.0
260,1000000259,846,1,-1,-1,975,1234709,REFUNDED,ARS,25872.0,5433.12,1500.0,32805.12
261,1000000260,1491,1,-1,-1,2539,851072,FULFILLED,ARS,33000.0,6930.0,1200.0,41130.0
262,1000000261,79,1,-1,-1,1366,1205143,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
263,1000000262,748,1,-1,-1,3055,817659,FULFILLED,ARS,35280.0,7408.8,900.0,43588.8
264,1000000263,537,1,-1,-1,3146,879566,PAID,ARS,40500.0,8505.0,900.0,49905.0
265,1000000264,303,2,2,2,2,1211547,PAID,ARS,57645.0,12105.45,0.0,69750.45
