nps_sk,responded_at_sk,nps_id,score,comment
120,927868,13000000119,9,Volvería a comprar
121,938558,13000000120,6,Entrega rápida y producto excelente
122,774509,13000000121,8,Volvería a comprar
123,1209031,13000000122,9,Entrega rápida y producto excelente
124,978741,13000000123,7,Volvería a comprar
125,906679,13000000124,9,Todo perfecto
126,915506,13000000125,7,Podría mejorar el empaque
127,779852,13000000126,8,Atención muy buena
128,399085,13000000127,5,Muy conforme con la calidad
129,492282,13000000128,4,Podría mejorar el empaque
130,1038605,13000000129,10,Podría mejorar el empaque
131,956037,13000000130,7,Entrega rápida y producto excelente
132,1098071,13000000131,9,Podría mejorar el empaque
133,1185078,13000000132,8,Entrega rápida y producto excelente
134,842135,13000000133,0,Atención muy buena
135,1114307,13000000134,1,No Comment
136,751945,13000000135,8,Podría mejorar el empaque
137,889597,13000000136,8,Atención muy buena
138,634314,13000000137,9,No Comment
139,652838,13000000138,9,Muy conforme con la calidad
140,972016,13000000139,6,Entrega rápida y producto excelente
141,681580,13000000140,0,Atención muy buena
142,1163484,13000000141,7,No Comment
143,913557,13000000142,5,Entrega rápida y producto excelente
144,714671,13000000143,1,Todo perfecto
145,1146433,13000000144,10,Todo perfecto
146,430057,13000000145,6,No Comment
147,1080658,13000000146,8,No Comment
148,569342,13000000147,7,No Comment
149,750235,13000000148,0,Podría mejorar el empaque
150,770331,13000000149,2,Entrega rápida y producto excelente
151,1089234,13000000150,5,Todo perfecto
152,979589,13000000151,9,Tardó un poco más de lo esperado
153,741695,13000000152,8,Tardó un poco más de lo esperado
154,1150378,13000000153,8,No Comment
155,935402,13000000154,8,Todo perfecto
156,1102961,13000000155,9,No Comment
157,1146959,13000000156,8,No Comment
158,899357,13000000157,10,Atención muy buena
159,1252029,13000000158,8,Atención muy buena
160,1061735,13000000159,9,Muy conforme con la calidad
161,482569,13000000160,8,Podría mejorar el empaque
162,1165051,13000000161,7,Podría mejorar el empaque
163,1259376,13000000162,8,Volvería a comprar
164,965876,13000000163,3,Todo perfecto
165,1190864,13000000164,0,Tardó un poco más de lo esperado
166,894957,13000000165,8,Tardó un poco más de lo esperado
167,676506,13000000166,4,Volvería a comprar
168,476533,13000000167,1,Entrega rápida y producto excelente
169,1124053,13000000168,8,Todo perfecto
170,855608,13000000169,7,Entrega rápida y producto excelente
171,759459,13000000170,8,No Comment
172,734665,13000000171,6,No Comment
173,1150776,13000000172,4,Tardó un poco más de lo esperado
174,1114080,13000000173,1,Volvería a comprar
175,574391,13000000174,7,Entrega rápida y producto excelente
176,1253653,13000000175,9,Todo perfecto
177,689405,13000000176,9,No Comment
178,624142,13000000177,9,Volvería a comprar
179,668150,13000000178,8,No Comment
180,1279612,13000000179,8,Atención muy buena
181,1153841,13000000180,2,Volvería a comprar
182,1061378,13000000181,8,Volvería a comprar
183,887330,13000000182,7,Muy conforme con la calidad
184,477214,13000000183,9,No Comment
185,651197,13000000184,10,No Comment
186,953502,13000000185,9,Podría mejorar el empaque
187,940756,13000000186,2,No Comment
188,1138287,13000000187,7,Muy conforme con la calidad
189,955945,13000000188,0,Entrega rápida y producto excelente
190,1280958,13000000189,1,Podría mejorar el empaque
191,1086330,13000000190,8,Todo perfecto
192,672875,13000000191,1,No Comment
193,1138025,13000000192,10,Todo perfecto
194,540341,13000000193,8,Volvería a comprar
195,658514,13000000194,7,Podría mejorar el empaque
196,739863,13000000195,7,Todo perfecto
197,395284,13000000196,10,Todo perfecto
198,546248,13000000197,10,Tardó un poco más de lo esperado
199,489810,13000000198,10,Todo perfecto
200,432449,13000000199,7,Entrega rápida y producto excelente
201,1256203,13000000200,5,Todo perfecto
202,634674,13000000201,2,Todo perfecto
203,870617,13000000202,1,Entrega rápida y producto excelente
204,1049092,13000000203,8,Volvería a comprar
205,785054,13000000204,10,Podría mejorar el empaque
206,1229364,13000000205,8,Todo perfecto
207,377998,13000000206,5,Muy conforme con la calidad
208,1177313,13000000207,10,Muy conforme con la calidad
209,404783,13000000208,9,Tardó un poco más de lo esperado
210,517219,13000000209,1,Tardó un poco más de lo esperado
211,1055512,13000000210,9,Entrega rápida y producto excelente
212,1179877,13000000211,7,Muy conforme con la calidad
213,1237687,13000000212,9,Tardó un poco más de lo esperado
214,906035,13000000213,7,Podría mejorar el empaque
215,806275,13000000214,8,Muy conforme con la calidad
216,1176709,13000000215,7,No Comment
217,583489,13000000216,10,Todo perfecto
218,672739,13000000217,9,Entrega rápida y producto excelente
219,1086410,13000000218,5,Volvería a comprar
220,743212,13000000219,3,Entrega rápida y producto excelente
221,371071,13000000220,10,Atención muy buena
222,1170953,13000000221,8,Todo perfecto
223,928805,13000000222,6,No Comment
224,1215388,13000000223,5,Podría mejorar el empaque
225,1195056,13000000224,4,Volvería a comprar
226,843541,13000000225,7,Entrega rápida y producto excelente
227,845612,13000000226,5,Todo perfecto
228,755314,13000000227,8,Todo perfecto
229,1072479,13000000228,6,Podría mejorar el empaque
230,863844,13000000229,2,Podría mejorar el empaque
231,572100,13000000230,7,No Comment
232,823396,13000000231,4,Atención muy buena
233,493486,13000000232,6,No Comment
234,876370,13000000233,4,Tardó un poco más de lo esperado
235,1072040,13000000234,2,Muy conforme con la calidad
236,1034320,13000000235,7,Atención muy buena
237,419603,13000000236,2,Volvería a comprar
238,583652,13000000237,9,Muy conforme con la calidad
239,435102,13000000238,7,Tardó un poco más de lo esperado
240,601156,13000000239,2,Tardó un poco más de lo esperado
241,1202887,13000000240,8,Podría mejorar el empaque
242,513874,13000000241,8,Todo perfecto
243,1233594,13000000242,5,Muy conforme con la calidad
244,1162890,13000000243,9,Volvería a comprar
245,392617,13000000244,6,Tardó un poco más de lo esperado
246,1001836,13000000245,7,Podría mejorar el empaque
247,388499,13000000246,10,Podría mejorar el empaque
248,535417,13000000247,10,Entrega rápida y producto excelente
249,711173,13000000248,6,Entrega rápida y producto excelente
250,1254503,13000000249,9,Volvería a comprar
251,828514,13000000250,7,Tardó un poco más de lo esperado
252,910921,13000000251,8,Atención muy buena
253,984158,13000000252,6,Volvería a comprar
254,399326,13000000253,8,Podría mejorar el empaque
255,908274,13000000254,9,Entrega rápida y producto excelente
256,1172975,13000000255,9,Atención muy buena
257,490392,13000000256,6,Entrega rápida y producto excelente
258,886654,13000000257,0,Entrega rápida y producto excelente
259,608235,13000000258,7,Tardó un poco más de lo esperado
260,395265,13000000259,4,No Comment
261,1096931,13000000260,9,Tardó un poco más de lo esperado
262,936922,13000000261,7,Atención muy buena
263,882518,13000000262,9,Podría mejorar el empaque
264,795728,13000000263,8,Tardó un poco más de lo esperado
265,676405,13000000264,1,Podría mejorar el empaque
266,1175036,13000000265,6,Muy conforme con la calidad
267,647172,13000000266,9,Todo perfecto
268,846454,13000000267,6,Podría mejorar el empaque
269,789001,13000000268,6,Entrega rápida y producto excelente
270,776763,13000000269,7,No Comment
271,714227,13000000270,0,Todo perfecto
272,991827,13000000271,7,Todo perfecto
273,752806,13000000272,5,Atención muy buena
274,406767,13000000273,10,Atención muy buena
275,391348,13000000274,7,Tardó un poco más de lo esperado
276,872690,13000000275,10,Todo perfecto
277,369626,13000000276,6,Entrega rápida y producto excelente
278,822782,13000000277,6,Tardó un poco más de lo esperado
279,1039783,13000000278,9,Entrega rápida y producto excelente
280,1118972,13000000279,7,Atención muy buena
281,970061,13000000280,0,Todo perfecto
282,637858,13000000281,4,Muy conforme con la calidad
283,981673,13000000282,8,Tardó un poco más de lo esperado
284,974275,13000000283,7,Tardó un poco más de lo esperado
285,980347,13000000284,8,Entrega rápida y producto excelente
286,826271,13000000285,6,Muy conforme con la calidad
287,937890,13000000286,9,Tardó un poco más de lo esperado
288,1281012,13000000287,9,Tardó un poco más de lo esperado
289,1271408,13000000288,7,Entrega rápida y producto excelente
290,830583,13000000289,8,No Comment
291,1254100,13000000290,8,Volvería a comprar
292,384823,13000000291,4,Tardó un poco más de lo esperado
293,1047247,13000000292,2,Volvería a comprar
294,448625,13000000293,6,Muy conforme con la calidad
295,451700,13000000294,9,No Comment
296,950241,13000000295,8,Muy conforme con la calidad
297,1125053,13000000296,10,Entrega rápida y producto excelente
298,842494,13000000297,0,Entrega rápida y producto excelente
299,457258,13000000298,5,Podría mejorar el empaque
300,1168799,13000000299,10,Muy conforme con la calidad
301,432729,13000000300,8,Podría mejorar el empaque
302,1151222,13000000301,8,Atención muy buena
303,1163928,13000000302,8,Volvería a comprar
304,1050482,13000000303,9,Podría mejorar el empaque
305,531406,13000000304,8,Entrega rápida y producto excelente
306,886835,13000000305,1,No Comment
307,491857,13000000306,9,No Comment
308,866331,13000000307,9,Podría mejorar el empaque
309,1169495,13000000308,6,Todo perfecto
310,815134,13000000309,9,Volvería a comprar
311,1159935,13000000310,5,Muy conforme con la calidad
312,1222209,13000000311,9,No Comment
313,1208455,13000000312,7,Todo perfecto
314,784862,13000000313,4,Tardó un poco más de lo esperado
315,765640,13000000314,9,Atención muy buena
316,709215,13000000315,10,Muy conforme con la calidad
317,1227717,13000000316,9,Tardó un poco más de lo esperado
318,410237,13000000317,8,Podría mejorar el empaque
319,481515,13000000318,4,Entrega rápida y producto excelente
320,1084379,13000000319,9,Entrega rápida y producto excelente
321,413886,13000000320,5,Entrega rápida y producto excelente
322,590492,13000000321,9,Todo perfecto
323,509577,13000000322,9,Entrega rápida y producto excelente
324,497069,13000000323,8,Tardó un poco más de lo esperado
325,1248795,13000000324,8,Todo perfecto
326,517325,13000000325,5,Atención muy buena
327,1003659,13000000326,9,Podría mejorar el empaque
328,573841,13000000327,7,Todo perfecto
329,969492,13000000328,8,Volvería a comprar
330,1121888,13000000329,10,No Comment
331,794264,13000000330,7,Todo perfecto
332,1272551,13000000331,10,No Comment
333,1109860,13000000332,9,Volvería a comprar
334,945832,13000000333,6,Atención muy buena
335,860789,13000000334,9,No Comment
336,1060145,13000000335,8,Volvería a comprar
337,709920,13000000336,4,Tardó un poco más de lo esperado
338,1279711,13000000337,8,No Comment
339,763031,13000000338,8,Atención muy buena
340,458708,13000000339,4,Volvería a comprar
341,1141816,13000000340,7,Entrega rápida y producto excelente
342,796912,13000000341,7,Podría mejorar el empaque
343,599910,13000000342,0,Tardó un poco más de lo esperado
344,677478,13000000343,9,Muy conforme con la calidad
345,757825,13000000344,2,Todo perfecto
346,551633,13000000345,10,Entrega rápida y producto excelente
347,714696,13000000346,7,Podría mejorar el empaque
348,1169728,13000000347,10,Entrega rápida y producto excelente
349,1144531,13000000348,10,Tardó un poco más de lo esperado
350,1255547,13000000349,7,Entrega rápida y producto excelente
351,663778,13000000350,8,Todo perfecto
352,775350,13000000351,9,Tardó un poco más de lo esperado
353,1160372,13000000352,9,Muy conforme con la calidad
354,1021661,13000000353,6,Todo perfecto
355,956496,13000000354,6,Todo perfecto
356,1182404,13000000355,4,Volvería a comprar
357,810208,13000000356,0,Atención muy buena
358,1209165,13000000357,5,Atención muy buena
359,550681,13000000358,8,Tardó un poco más de lo esperado
360,498643,13000000359,5,Atención muy buena
361,501947,13000000360,10,Entrega rápida y producto excelente
362,502552,13000000361,8,Todo perfecto
363,1055709,13000000362,10,Muy conforme con la calidad
364,448578,13000000363,9,Volvería a comprar
365,567945,13000000364,7,Volvería a comprar
366,551531,13000000365,9,No Comment
367,565387,13000000366,10,Podría mejorar el empaque
368,1017003,13000000367,9,Volvería a comprar
369,756923,13000000368,1,Tardó un poco más de lo esperado
370,1060711,13000000369,5,Entrega rápida y producto excelente
371,979077,13000000370,8,Atención muy buena
372,1095392,13000000371,9,Podría mejorar el empaque
373,404115,13000000372,8,Atención muy buena
374,805507,13000000373,8,Tardó un poco más de lo esperado
375,414450,13000000374,8,Tardó un poco más de lo esperado
376,873100,13000000375,10,Todo perfecto
377,453088,13000000376,7,Tardó un poco más de lo esperado
378,673381,13000000377,5,Atención muy buena
379,562488,13000000378,5,Muy conforme con la calidad
380,671446,13000000379,10,Atención muy buena
381,810910,13000000380,1,Podría mejorar el empaque
382,494846,13000000381,10,Atención muy buena
383,412692,13000000382,4,Volvería a comprar
384,704683,13000000383,10,Muy conforme con la calidad
385,894755,13000000384,7,Tardó un poco más de lo esperado
386,1089435,13000000385,10,Podría mejorar el empaque
387,774436,13000000386,3,Volvería a comprar
388,979526,13000000387,3,Atención muy buena
389,1086376,13000000388,2,No Comment
390,675266,13000000389,8,No Comment
391,514417,13000000390,9,No Comment
392,1059621,13000000391,6,Podría mejorar el empaque
393,533504,13000000392,5,Atención muy buena
394,598105,13000000393,4,No Comment
395,944034,13000000394,6,Tardó un poco más de lo esperado
396,939632,13000000395,7,Entrega rápida y producto excelente
397,459599,13000000396,9,Todo perfecto
398,1066421,13000000397,1,Todo perfecto
399,688627,13000000398,9,Muy conforme con la calidad
400,1189977,13000000399,1,Todo perfecto
401,407178,13000000400,7,Todo perfecto
402,483376,13000000401,10,Podría mejorar el empaque
403,1203891,13000000402,6,Atención muy buena
404,855339,13000000403,2,Volvería a comprar
405,1129893,13000000404,3,Volvería a comprar
406,997327,13000000405,0,Podría mejorar el empaque
407,830503,13000000406,9,Atención muy buena
408,730057,13000000407,7,Volvería a comprar
409,712166,13000000408,7,Todo perfecto
410,793372,13000000409,10,Podría mejorar el empaque
411,987803,13000000410,7,Volvería a comprar
412,851945,13000000411,2,No Comment
413,385367,13000000412,3,Todo perfecto
414,643854,13000000413,9,Todo perfecto
415,569551,13000000414,10,Volvería a comprar
416,857129,13000000415,8,Todo perfecto
417,1125922,13000000416,10,Volvería a comprar
418,686718,13000000417,9,Volvería a comprar
419,672812,13000000418,7,Entrega rápida y producto excelente
420,1030222,13000000419,9,Tardó un poco más de lo esperado
421,896209,13000000420,9,Muy conforme con la calidad
422,693460,13000000421,9,Volvería a comprar
423,885349,13000000422,9,Atención muy buena
424,626324,13000000423,8,Podría mejorar el empaque
425,947405,13000000424,8,Volvería a comprar
426,540125,13000000425,10,Tardó un poco más de lo esperado
427,618825,13000000426,9,Entrega rápida y producto excelente
428,1228370,13000000427,3,Tardó un poco más de lo esperado
429,940871,13000000428,6,Todo perfecto
430,872548,13000000429,9,Muy conforme con la calidad
431,1110756,13000000430,3,Tardó un poco más de lo esperado
432,1017950,13000000431,8,No Comment
433,1043356,13000000432,3,Volvería a comprar
434,1220640,13000000433,8,Tardó un poco más de lo esperado
435,584531,13000000434,9,Entrega rápida y producto excelente
436,762408,13000000435,5,Volvería a comprar
437,1160040,13000000436,6,Volvería a comprar
438,633780,13000000437,9,No Comment
439,541177,13000000438,2,Entrega rápida y producto excelente
440,383616,13000000439,8,Podría mejorar el empaque
441,448471,13000000440,7,Todo perfecto
442,1279887,13000000441,2,Atención muy buena
443,381913,13000000442,7,Atención muy buena
444,1097511,13000000443,7,Muy conforme con la calidad
445,1219189,13000000444,8,Muy conforme con la calidad
446,897684,13000000445,5,Tardó un poco más de lo esperado
447,1046215,13000000446,9,No Comment
448,1016639,13000000447,9,Entrega rápida y producto excelente
449,1176313,13000000448,8,Podría mejorar el empaque
450,825350,13000000449,2,Muy conforme con la calidad
451,624748,13000000450,9,Entrega rápida y producto excelente
452,534523,13000000451,8,Entrega rápida y producto excelente
453,1101549,13000000452,8,Tardó un poco más de lo esperado
454,1031230,13000000453,5,Todo perfecto
455,1110949,13000000454,7,Todo perfecto
456,979848,13000000455,10,No Comment
457,1177534,13000000456,10,Podría mejorar el empaque
458,1105989,13000000457,10,Atención muy buena
459,714144,13000000458,10,Volvería a comprar
460,455316,13000000459,8,Podría mejorar el empaque
461,558688,13000000460,10,Tardó un poco más de lo esperado
462,890261,13000000461,3,Entrega rápida y producto excelente
463,856001,13000000462,7,Entrega rápida y producto excelente
464,1106800,13000000463,7,Podría mejorar el empaque
465,749123,13000000464,10,Podría mejorar el empaque
466,514349,13000000465,0,Tardó un poco más de lo esperado
467,725562,13000000466,8,No Comment
468,833328,13000000467,9,Entrega rápida y producto excelente
469,576086,13000000468,7,Tardó un poco más de lo esperado
470,966834,13000000469,7,Tardó un poco más de lo esperado
471,388238,13000000470,8,Muy conforme con la calidad
472,485658,13000000471,7,Todo perfecto
473,1136744,13000000472,10,Podría mejorar el empaque
474,409598,13000000473,4,Muy conforme con la calidad
475,1172346,13000000474,6,Entrega rápida y producto excelente
476,1197119,13000000475,8,Todo perfecto
477,637608,13000000476,6,No Comment
478,1196474,13000000477,10,Tardó un poco más de lo esperado
479,1222651,13000000478,0,No Comment
480,684862,13000000479,7,Podría mejorar el empaque
481,638298,13000000480,6,Muy conforme con la calidad
482,1171087,13000000481,6,Volvería a comprar
483,1108719,13000000482,8,Atención muy buena
484,759041,13000000483,1,Entrega rápida y producto excelente
485,698260,13000000484,6,Todo perfecto
486,866533,13000000485,9,Podría mejorar el empaque
487,691007,13000000486,0,Entrega rápida y producto excelente
488,1112850,13000000487,7,Muy conforme con la calidad
489,544756,13000000488,9,No Comment
490,1020134,13000000489,8,Entrega rápida y producto excelente
491,1182709,13000000490,4,Todo perfecto
492,498106,13000000491,7,Atención muy buena
493,833667,13000000492,9,Todo perfecto
494,376272,13000000493,9,Tardó un poco más de lo esperado
495,857099,13000000494,4,Muy conforme con la calidad
496,484100,13000000495,8,Todo perfecto
497,984315,13000000496,9,Entrega rápida y producto excelente
498,1224700,13000000497,4,Volvería a comprar
499,1037638,13000000498,9,Todo perfecto
500,1209990,13000000499,8,Podría mejorar el empaque
501,390745,13000000500,7,Entrega rápida y producto excelente
502,551617,13000000501,2,Tardó un poco más de lo esperado
503,577236,13000000502,9,Podría mejorar el empaque
504,531536,13000000503,8,Muy conforme con la calidad
505,1140400,13000000504,3,Podría mejorar el empaque
506,558988,13000000505,8,Muy conforme con la calidad
507,477571,13000000506,3,Atención muy buena
508,812083,13000000507,8,Atención muy buena
509,1275140,13000000508,5,Podría mejorar el empaque
510,377273,13000000509,9,Volvería a comprar
511,937466,13000000510,6,Entrega rápida y producto excelente
512,993684,13000000511,3,Podría mejorar el empaque
513,780510,13000000512,5,Entrega rápida y producto excelente
514,751442,13000000513,8,Tardó un poco más de lo esperado
515,835770,13000000514,7,Todo perfecto
516,474387,13000000515,9,Todo perfecto
517,973605,13000000516,7,Podría mejorar el empaque
518,876495,13000000517,8,No Comment
519,486681,13000000518,4,Entrega rápida y producto excelente
520,1121195,13000000519,10,Todo perfecto
521,1128033,13000000520,2,Muy conforme con la calidad
522,1266448,13000000521,6,Muy conforme con la calidad
523,1044194,13000000522,9,Volvería a comprar
524,445105,13000000523,9,Podría mejorar el empaque
525,1116677,13000000524,10,Todo perfecto
526,1242074,13000000525,9,Entrega rápida y producto excelente
527,626330,13000000526,8,Volvería a comprar
528,852027,13000000527,9,Atención muy buena
529,772505,13000000528,7,Tardó un poco más de lo esperado
530,1188043,13000000529,9,Podría mejorar el empaque
531,684786,13000000530,2,Muy conforme con la calidad
532,677532,13000000531,10,Todo perfecto
533,738012,13000000532,5,Todo perfecto
534,691739,13000000533,7,Todo perfecto
535,1215948,13000000534,3,Volvería a comprar
536,847000,13000000535,8,Atención muy buena
537,516917,13000000536,10,Todo perfecto
538,1025248,13000000537,0,Podría mejorar el empaque
539,372293,13000000538,8,Tardó un poco más de lo esperado
540,615268,13000000539,3,Volvería a comprar
541,461334,13000000540,9,Volvería a comprar
542,1137789,13000000541,9,Muy conforme con la calidad
543,563205,13000000542,7,Tardó un poco más de lo esperado
544,1238818,13000000543,8,Entrega rápida y producto excelente
545,771263,13000000544,9,No Comment
546,1120288,13000000545,5,Volvería a comprar
547,467056,13000000546,10,Muy conforme con la calidad
548,693247,13000000547,9,Podría mejorar el empaque
549,379124,13000000548,9,Todo perfecto
550,449350,13000000549,9,Atención muy buena
551,1243889,13000000550,8,Muy conforme con la calidad
552,1149230,13000000551,3,Tardó un poco más de lo esperado
553,1077364,13000000552,10,Podría mejorar el empaque
554,818958,13000000553,8,No Comment
555,817986,13000000554,9,Atención muy buena
556,613337,13000000555,10,Muy conforme con la calidad
557,538044,13000000556,7,No Comment
558,976808,13000000557,10,Entrega rápida y producto excelente
559,649925,13000000558,10,Muy conforme con la calidad
560,1167338,13000000559,3,Muy conforme con la calidad
561,1177688,13000000560,10,Todo perfecto
562,1011236,13000000561,10,Volvería a comprar
563,569898,13000000562,9,Entrega rápida y producto excelente
564,552829,13000000563,8,Entrega rápida y producto excelente
565,869165,13000000564,10,Atención muy buena
566,1127919,13000000565,10,Todo perfecto
567,651173,13000000566,10,Muy conforme con la calidad
568,429617,13000000567,8,Podría mejorar el empaque
569,513519,13000000568,7,Muy conforme con la calidad
570,1073138,13000000569,7,Atención muy buena
571,1252505,13000000570,6,No Comment
572,557902,13000000571,8,Atención muy buena
573,598665,13000000572,9,Todo perfecto
574,935913,13000000573,6,Todo perfecto
575,459478,13000000574,7,Atención muy buena
576,445072,13000000575,5,Entrega rápida y producto excelente
577,372118,13000000576,8,Todo perfecto
578,1279471,13000000577,9,Podría mejorar el empaque
579,1258049,13000000578,7,Atención muy buena
580,1263285,13000000579,6,Volvería a comprar
581,677167,13000000580,0,Todo perfecto
582,743755,13000000581,7,Volvería a comprar
583,1224553,13000000582,1,Todo perfecto
584,956938,13000000583,1,Muy conforme con la calidad
585,1079104,13000000584,10,Volvería a comprar
586,510040,13000000585,7,Atención muy buena
587,1119871,13000000586,7,Atención muy buena
588,1015050,13000000587,7,Atención muy buena
589,1039330,13000000588,7,Atención muy buena
590,1122858,13000000589,5,Tardó un poco más de lo esperado
591,693258,13000000590,6,Muy conforme con la calidad
592,443986,13000000591,4,No Comment
593,692055,13000000592,0,No Comment
594,1123506,13000000593,9,Todo perfecto
595,710494,13000000594,2,Volvería a comprar
596,467562,13000000595,2,Podría mejorar el empaque
597,472758,13000000596,5,Atención muy buena
598,1127739,13000000597,10,Todo perfecto
599,1188805,13000000598,6,Podría mejorar el empaque
600,1021078,13000000599,3,Muy conforme con la calidad
601,370540,13000000600,10,Podría mejorar el empaque
602,631261,13000000601,7,Muy conforme con la calidad
603,627210,13000000602,7,Atención muy buena
604,394723,13000000603,9,Entrega rápida y producto excelente
605,413991,13000000604,7,Atención muy buena
606,761359,13000000605,9,Volvería a comprar
607,469773,13000000606,7,Volvería a comprar
608,825313,13000000607,9,Entrega rápida y producto excelente
609,1183797,13000000608,8,Tardó un poco más de lo esperado
610,1127199,13000000609,8,No Comment
611,1094121,13000000610,9,Entrega rápida y producto excelente
