session_sk,session_id,customer_sk,started_at_sk,ended_at_sk,source_sk,device_sk
118,11000000117,725,443427,443447.0,3,1
119,11000000118,647,755203,755263.0,1,2
120,11000000119,1014,1141365,1141373.0,2,2
121,11000000120,892,1042848,1042894.0,2,2
122,11000000121,130,926847,926865.0,4,2
123,11000000122,633,562470,562518.0,4,1
124,11000000123,-1,362969,363015.0,2,1
125,11000000124,532,874165,,2,2
126,11000000125,997,834657,834686.0,3,1
127,11000000126,11,1204824,1204884.0,2,2
128,11000000127,-1,612833,612865.0,4,2
129,11000000128,1331,398326,398341.0,4,2
130,11000000129,-1,681702,681760.0,4,2
131,11000000130,1084,436898,436943.0,1,2
132,11000000131,1201,1270523,1270539.0,3,2
133,11000000132,-1,1058173,,2,1
134,11000000133,367,1214511,1214531.0,3,2
135,11000000134,710,443792,443827.0,2,2
136,11000000135,-1,881806,881832.0,1,2
137,11000000136,1389,388612,388656.0,3,1
138,11000000137,-1,1258902,1258923.0,5,2
139,11000000138,1160,583743,583745.0,3,1
140,11000000139,1252,1139956,1139962.0,1,3
141,11000000140,-1,425897,425900.0,2,1
142,11000000141,1438,859217,859258.0,1,2
143,11000000142,670,652138,652190.0,5,2
144,11000000143,-1,498308,498319.0,1,1
145,11000000144,1207,678657,678675.0,1,3
146,11000000145,1110,816772,816832.0,1,3
147,11000000146,94,567652,567697.0,1,1
148,11000000147,1158,513814,513871.0,2,2
149,11000000148,-1,980566,980588.0,3,2
150,11000000149,252,951732,951755.0,2,2
151,11000000150,625,466415,466429.0,1,1
152,11000000151,919,545542,545572.0,3,1
153,11000000152,1053,669041,669089.0,1,2
154,11000000153,1381,783924,783957.0,2,1
155,11000000154,591,1085786,1085809.0,5,2
156,11000000155,1452,718299,718347.0,2,2
157,11000000156,864,672210,672234.0,2,1
158,11000000157,744,366990,367005.0,1,2
159,11000000158,653,730048,730090.0,1,2
160,11000000159,974,1074030,1074070.0,2,2
161,11000000160,-1,805466,805525.0,2,2
162,11000000161,-1,1100863,1100865.0,1,2
163,11000000162,-1,508347,508356.0,2,2
164,11000000163,1105,638109,638113.0,1,3
165,11000000164,1211,1239338,1239368.0,1,1
166,11000000165,-1,789115,789127.0,5,2
167,11000000166,-1,932266,932301.0,1,1
168,11000000167,1017,1041053,1041075.0,1,1
169,11000000168,267,452242,452281.0,2,2
170,11000000169,1228,950552,950588.0,2,1
171,11000000170,1121,1225611,1225670.0,2,2
172,11000000171,-1,1235209,1235253.0,2,1
173,11000000172,1380,778713,778715.0,3,2
174,11000000173,-1,453882,453915.0,2,2
175,11000000174,605,655693,655723.0,3,2
176,11000000175,-1,394080,394101.0,5,2
177,11000000176,1309,1216142,1216192.0,5,1
178,11000000177,1393,982925,982978.0,2,2
179,11000000178,331,679791,679792.0,1,2
180,11000000179,1288,850810,850816.0,4,2
181,11000000180,524,1176070,1176125.0,1,2
182,11000000181,1374,1026424,,5,2
183,11000000182,67,1066810,1066829.0,4,1
184,11000000183,-1,856887,856932.0,1,2
185,11000000184,662,1245221,1245272.0,2,2
186,11000000185,1332,1250226,1250234.0,1,2
187,11000000186,1163,838456,838464.0,2,2
188,11000000187,665,382464,382483.0,2,1
189,11000000188,1409,967457,967468.0,2,2
190,11000000189,502,1106381,1106401.0,2,2
191,11000000190,744,1175244,1175246.0,2,1
192,11000000191,686,649966,649988.0,2,1
193,11000000192,-1,583523,,4,2
194,11000000193,145,584065,584108.0,2,1
195,11000000194,-1,818125,818185.0,2,2
196,11000000195,865,410547,410577.0,2,2
197,11000000196,-1,854685,,5,3
198,11000000197,1167,380426,380445.0,4,2
199,11000000198,-1,785721,785738.0,2,1
200,11000000199,-1,852564,852599.0,1,2
201,11000000200,170,1068204,1068264.0,1,1
202,11000000201,958,494921,494960.0,2,2
203,11000000202,-1,408709,408723.0,3,1
204,11000000203,541,1093244,1093297.0,3,1
205,11000000204,119,1107937,1107942.0,1,1
206,11000000205,228,411512,411538.0,1,2
207,11000000206,1315,624684,624736.0,1,1
208,11000000207,535,386929,386986.0,1,2
209,11000000208,-1,1187710,1187719.0,1,2
210,11000000209,601,1235509,,1,1
211,11000000210,-1,637745,637784.0,3,2
212,11000000211,1417,1097209,1097243.0,2,2
213,11000000212,-1,878691,878703.0,2,1
214,11000000213,436,810897,810898.0,1,1
215,11000000214,706,382107,382148.0,1,2
216,11000000215,951,731336,731372.0,2,2
217,11000000216,1266,511126,511144.0,1,2
218,11000000217,928,1212556,1212564.0,2,1
219,11000000218,-1,504621,504625.0,2,1
220,11000000219,1222,713131,713149.0,1,2
221,11000000220,529,512831,512846.0,2,2
222,11000000221,819,1227661,1227673.0,4,2
223,11000000222,1148,1004510,1004560.0,4,2
224,11000000223,-1,724726,724745.0,2,2
225,11000000224,834,507458,507476.0,1,2
226,11000000225,604,748540,748590.0,1,1
227,11000000226,-1,1171669,1171688.0,1,2
228,11000000227,293,1195196,1195252.0,4,2
229,11000000228,1335,1249130,1249137.0,2,1
230,11000000229,236,972801,972816.0,1,2
231,11000000230,675,691094,691105.0,4,1
232,11000000231,1493,824289,824319.0,2,2
233,11000000232,-1,978294,978321.0,2,2
234,11000000233,-1,636064,636092.0,1,2
235,11000000234,448,1096295,1096336.0,1,2
236,11000000235,-1,601669,601691.0,1,2
237,11000000236,1444,665857,665886.0,2,2
238,11000000237,22,665745,665786.0,3,2
239,11000000238,1330,935537,935597.0,1,2
240,11000000239,199,1148449,1148489.0,1,1
241,11000000240,662,425151,425206.0,1,1
242,11000000241,347,1015660,1015703.0,3,3
243,11000000242,-1,949793,949853.0,5,2
244,11000000243,1449,472388,472404.0,2,2
245,11000000244,820,464052,464070.0,2,2
246,11000000245,128,1192803,1192807.0,1,2
247,11000000246,684,574362,574407.0,1,2
248,11000000247,-1,710679,710732.0,3,2
249,11000000248,740,635622,635646.0,2,2
250,11000000249,-1,916999,917037.0,1,2
251,11000000250,-1,951890,951931.0,1,2
252,11000000251,-1,753576,753615.0,1,2
253,11000000252,1107,469300,469310.0,1,2
254,11000000253,-1,983975,984024.0,2,2
255,11000000254,-1,753710,753755.0,1,2
256,11000000255,-1,392900,392913.0,4,2
257,11000000256,1013,601001,601038.0,1,2
258,11000000257,-1,1008747,1008775.0,4,2
259,11000000258,902,357223,357269.0,2,2
260,11000000259,-1,363719,363729.0,5,1
261,11000000260,745,1019932,1019969.0,2,1
262,11000000261,1292,475438,475498.0,2,1
263,11000000262,476,638314,638369.0,3,3
264,11000000263,502,1085063,1085114.0,2,2
265,11000000264,679,707160,,1,1
266,11000000265,-1,1089347,,1,2
267,11000000266,-1,408813,408818.0,2,1
268,11000000267,-1,821891,821904.0,2,2
269,11000000268,1027,594274,594284.0,1,2
270,11000000269,365,1215391,1215421.0,4,2
271,11000000270,128,898634,898668.0,2,2
272,11000000271,855,942635,942668.0,2,2
273,11000000272,-1,719114,719118.0,2,2
274,11000000273,112,707727,707763.0,1,2
275,11000000274,57,1081342,1081344.0,1,1
276,11000000275,1231,1213585,1213595.0,1,2
277,11000000276,221,1100872,1100911.0,1,2
278,11000000277,835,587508,587515.0,3,2
279,11000000278,-1,1223849,1223873.0,5,2
280,11000000279,990,371157,371214.0,1,1
281,11000000280,1177,387499,387538.0,2,1
282,11000000281,514,984921,984939.0,2,2
283,11000000282,182,884654,884655.0,1,2
284,11000000283,1023,451078,451097.0,4,1
285,11000000284,358,882742,882747.0,1,1
286,11000000285,1317,680029,680088.0,5,3
287,11000000286,-1,535987,535992.0,2,3
288,11000000287,-1,1178141,1178194.0,2,2
289,11000000288,-1,634973,635028.0,4,2
290,11000000289,-1,597020,597037.0,2,2
291,11000000290,540,956547,956561.0,1,2
292,11000000291,-1,1091885,1091927.0,3,2
293,11000000292,-1,882024,882083.0,4,2
294,11000000293,-1,393065,393104.0,3,1
295,11000000294,235,830365,830398.0,1,2
296,11000000295,-1,622294,,3,2
297,11000000296,1467,463383,463431.0,1,2
298,11000000297,1370,1015127,1015151.0,4,2
299,11000000298,1319,764209,764224.0,2,2
300,11000000299,483,415239,415273.0,2,1
301,11000000300,-1,882011,,1,2
302,11000000301,-1,583742,583753.0,2,1
303,11000000302,-1,1133317,1133340.0,4,2
304,11000000303,448,373638,373671.0,1,1
305,11000000304,814,487245,487296.0,2,1
306,11000000305,205,847249,847283.0,2,1
307,11000000306,873,588421,588472.0,1,1
308,11000000307,-1,418560,418583.0,5,2
309,11000000308,-1,1106795,,1,2
310,11000000309,730,983295,983353.0,2,2
311,11000000310,458,751072,751118.0,4,2
312,11000000311,1357,930665,930670.0,2,2
313,11000000312,-1,1163388,1163391.0,5,2
314,11000000313,-1,566274,566302.0,4,1
315,11000000314,-1,389066,389106.0,5,2
316,11000000315,-1,559689,559721.0,1,1
317,11000000316,1480,441172,,1,1
318,11000000317,-1,1190264,1190284.0,1,2
319,11000000318,-1,924067,924118.0,1,3
320,11000000319,1336,1252780,1252792.0,2,2
321,11000000320,301,635467,635508.0,1,2
322,11000000321,307,1201592,1201649.0,2,2
323,11000000322,-1,482680,482719.0,4,2
324,11000000323,633,356508,356538.0,5,1
325,11000000324,-1,616040,616100.0,1,2
326,11000000325,-1,809104,,2,2
327,11000000326,1315,458024,458031.0,2,2
328,11000000327,593,619279,619298.0,2,2
329,11000000328,176,1144606,1144639.0,5,1
330,11000000329,1182,1185973,1185997.0,1,2
331,11000000330,-1,832949,832978.0,5,2
332,11000000331,564,1094959,1095011.0,2,2
333,11000000332,249,1178441,1178486.0,1,1
334,11000000333,-1,973141,973173.0,3,2
335,11000000334,-1,1052253,1052285.0,4,1
336,11000000335,945,830803,830841.0,1,2
337,11000000336,1433,639378,639431.0,2,1
338,11000000337,315,843106,843116.0,2,2
339,11000000338,422,570097,570136.0,4,2
340,11000000339,1297,768888,768924.0,2,1
341,11000000340,1475,591699,591730.0,1,1
342,11000000341,-1,561670,561691.0,5,2
343,11000000342,319,1108546,,4,1
344,11000000343,839,625239,625262.0,1,2
345,11000000344,-1,983987,984031.0,1,2
346,11000000345,-1,513783,513784.0,2,2
347,11000000346,-1,969657,969660.0,2,1
348,11000000347,994,1252579,1252624.0,2,2
349,11000000348,-1,1123112,1123132.0,2,2
350,11000000349,579,582531,582590.0,1,2
351,11000000350,-1,909318,909347.0,1,1
352,11000000351,588,1246723,1246745.0,1,3
353,11000000352,-1,527823,527858.0,1,1
354,11000000353,-1,763624,763626.0,4,1
355,11000000354,-1,981509,981561.0,2,1
356,11000000355,373,460425,460427.0,1,1
357,11000000356,-1,1105355,1105362.0,1,2
358,11000000357,-1,1060756,1060804.0,1,1
359,11000000358,823,1045037,1045087.0,1,2
360,11000000359,266,1035048,1035090.0,1,2
361,11000000360,1406,1062180,1062194.0,4,3
362,11000000361,-1,670119,670142.0,4,1
363,11000000362,234,673920,,1,2
364,11000000363,1261,906666,906716.0,5,1
365,11000000364,521,1243215,1243252.0,1,2
366,11000000365,150,627707,627737.0,1,2
367,11000000366,1340,969847,969881.0,2,2
368,11000000367,-1,403046,403073.0,5,2
369,11000000368,1249,1063955,1063999.0,5,1
370,11000000369,539,781540,781592.0,2,2
371,11000000370,-1,452596,452625.0,5,1
372,11000000371,-1,1222640,1222656.0,4,1
373,11000000372,1175,834689,834743.0,2,2
374,11000000373,-1,1206051,1206078.0,5,2
375,11000000374,908,1009458,1009488.0,1,2
376,11000000375,-1,883747,883786.0,1,2
377,11000000376,726,1162632,1162676.0,2,1
378,11000000377,922,623608,623644.0,3,3
379,11000000378,1053,677786,677840.0,4,2
380,11000000379,-1,646041,646092.0,4,2
381,11000000380,-1,1072879,1072913.0,4,2
382,11000000381,256,891195,891238.0,2,1
383,11000000382,1005,482589,482603.0,1,2
384,11000000383,982,1149347,1149376.0,2,1
385,11000000384,1338,865221,865246.0,3,1
386,11000000385,710,964550,964566.0,1,2
387,11000000386,789,539496,539540.0,2,2
388,11000000387,-1,691106,691155.0,4,2
389,11000000388,1409,683331,,1,1
390,11000000389,660,719589,719613.0,2,1
391,11000000390,1483,502081,502109.0,5,1
392,11000000391,504,931669,931678.0,2,2
393,11000000392,-1,759307,759360.0,2,1
394,11000000393,-1,1166502,1166531.0,4,2
395,11000000394,656,676110,676133.0,4,2
396,11000000395,-1,1264899,,1,1
397,11000000396,1459,797135,797171.0,4,2
398,11000000397,-1,504827,504843.0,1,2
399,11000000398,-1,606663,606702.0,2,1
400,11000000399,133,971306,971345.0,5,1
401,11000000400,1248,439126,,4,3
402,11000000401,-1,506339,506346.0,1,2
403,11000000402,389,625916,625957.0,4,1
404,11000000403,508,523707,523735.0,1,2
405,11000000404,1403,641139,641143.0,5,2
406,11000000405,-1,1090282,1090338.0,1,2
407,11000000406,-1,1223932,1223952.0,1,2
408,11000000407,354,1202747,1202756.0,1,2
409,11000000408,1493,661276,661336.0,2,2
410,11000000409,-1,883443,883482.0,1,2
411,11000000410,381,731021,731038.0,1,2
412,11000000411,229,665867,665868.0,4,2
413,11000000412,1377,980741,980766.0,1,1
414,11000000413,-1,678721,678741.0,2,2
415,11000000414,57,493320,493322.0,2,2
416,11000000415,1353,1087422,1087450.0,1,1
417,11000000416,-1,525752,525765.0,4,3
418,11000000417,606,462254,462277.0,5,1
419,11000000418,1290,728157,,1,2
420,11000000419,-1,740987,741040.0,4,2
421,11000000420,577,1144255,1144264.0,2,2
422,11000000421,1400,1117033,1117073.0,2,2
423,11000000422,-1,588977,589024.0,1,3
424,11000000423,760,1144574,1144620.0,2,2
425,11000000424,227,1069274,1069320.0,2,2
426,11000000425,577,603790,603835.0,1,3
427,11000000426,-1,1000766,1000822.0,1,2
428,11000000427,939,1140313,1140351.0,1,2
429,11000000428,-1,746739,746755.0,4,2
430,11000000429,546,422474,422487.0,2,2
431,11000000430,-1,1265782,1265814.0,4,2
432,11000000431,1064,1223286,1223345.0,2,2
433,11000000432,1032,468930,468958.0,1,2
434,11000000433,1488,422409,422469.0,4,2
435,11000000434,1140,886367,886420.0,2,2
436,11000000435,1149,738023,738062.0,4,2
437,11000000436,484,848682,848702.0,2,2
438,11000000437,676,1260015,1260025.0,2,1
439,11000000438,131,1194346,,4,2
440,11000000439,863,753863,753919.0,2,1
441,11000000440,828,901677,901716.0,2,2
442,11000000441,951,679869,679917.0,1,2
443,11000000442,907,1050318,,2,2
444,11000000443,-1,1013865,1013878.0,1,2
445,11000000444,669,827108,827156.0,2,1
446,11000000445,-1,454344,454370.0,1,1
447,11000000446,141,1014983,1015004.0,1,2
448,11000000447,574,955881,955925.0,1,2
449,11000000448,975,1029207,1029231.0,3,2
450,11000000449,-1,513191,513220.0,2,1
451,11000000450,1042,716673,716700.0,1,2
452,11000000451,397,1124668,1124682.0,4,2
453,11000000452,1301,601750,601772.0,1,2
454,11000000453,730,759191,759234.0,4,2
455,11000000454,-1,928804,928849.0,5,2
456,11000000455,478,794081,794094.0,2,2
457,11000000456,270,579303,579338.0,2,1
458,11000000457,-1,760353,760367.0,5,1
459,11000000458,-1,565737,565767.0,4,2
460,11000000459,749,595526,595558.0,4,2
461,11000000460,-1,723527,723533.0,2,2
462,11000000461,-1,673306,673314.0,2,2
463,11000000462,-1,1006182,1006190.0,4,2
464,11000000463,947,517286,517317.0,1,2
465,11000000464,-1,651491,651542.0,4,2
466,11000000465,829,1204465,1204503.0,1,2
467,11000000466,6,1271805,1271809.0,1,2
468,11000000467,231,1127202,1127223.0,1,2
469,11000000468,-1,940868,940918.0,1,2
470,11000000469,1473,953858,953869.0,1,2
471,11000000470,845,991653,991659.0,3,2
472,11000000471,456,426143,426163.0,1,2
473,11000000472,-1,1085886,1085936.0,4,1
474,11000000473,417,1261599,1261624.0,2,2
475,11000000474,202,1068072,1068097.0,2,2
476,11000000475,78,995555,995563.0,5,2
477,11000000476,-1,805524,805535.0,3,2
478,11000000477,-1,629703,,4,1
479,11000000478,1060,1033386,1033399.0,2,2
480,11000000479,663,556600,556604.0,2,2
481,11000000480,176,673027,673050.0,1,1
482,11000000481,-1,509964,509972.0,1,1
483,11000000482,1243,729370,729396.0,1,2
484,11000000483,-1,492981,492995.0,2,2
485,11000000484,1458,1000211,,1,2
486,11000000485,408,1063468,1063527.0,1,2
487,11000000486,1301,927213,927272.0,2,2
488,11000000487,-1,770893,770903.0,2,2
489,11000000488,809,1170828,1170879.0,2,1
490,11000000489,-1,1052056,1052079.0,4,1
491,11000000490,-1,624956,625010.0,1,1
492,11000000491,970,717314,717372.0,2,1
493,11000000492,398,1211454,1211485.0,2,1
494,11000000493,792,754956,,2,2
495,11000000494,1330,581937,581971.0,2,1
496,11000000495,1487,1026798,1026820.0,2,2
497,11000000496,853,1120828,1120885.0,2,1
498,11000000497,108,1095009,1095057.0,2,2
499,11000000498,-1,488382,488408.0,2,2
500,11000000499,-1,632604,632655.0,2,2
501,11000000500,-1,1207869,1207902.0,1,2
502,11000000501,-1,684164,684199.0,3,2
503,11000000502,1155,829627,829661.0,2,2
504,11000000503,1071,963982,,2,2
505,11000000504,-1,1042048,1042086.0,3,2
506,11000000505,-1,1203060,1203086.0,4,3
507,11000000506,125,884532,884587.0,2,1
508,11000000507,1210,660535,660584.0,2,1
509,11000000508,-1,1086250,1086298.0,2,1
510,11000000509,1438,860735,860741.0,2,2
511,11000000510,72,669057,669079.0,1,2
512,11000000511,1398,521360,521409.0,1,1
513,11000000512,-1,782385,782430.0,1,2
514,11000000513,-1,1032649,1032678.0,1,2
515,11000000514,1250,922380,922409.0,2,2
516,11000000515,1368,1153281,1153286.0,4,2
517,11000000516,-1,533450,533463.0,1,2
518,11000000517,4,771354,771367.0,2,3
519,11000000518,-1,667833,667880.0,4,1
520,11000000519,-1,1017157,1017217.0,2,1
521,11000000520,1156,502770,502771.0,1,1
522,11000000521,624,609978,610013.0,1,2
523,11000000522,603,586325,586371.0,4,1
524,11000000523,-1,993190,993206.0,5,1
525,11000000524,592,1132841,1132874.0,2,1
526,11000000525,213,468216,,1,2
527,11000000526,-1,784311,784336.0,2,2
528,11000000527,622,413569,413624.0,2,3
529,11000000528,973,1206686,1206721.0,1,2
530,11000000529,-1,858871,858896.0,1,2
531,11000000530,629,1061011,1061049.0,4,2
532,11000000531,-1,874796,874833.0,5,1
533,11000000532,942,1060916,1060929.0,3,2
534,11000000533,520,353886,353919.0,2,1
535,11000000534,690,1223312,1223327.0,1,1
536,11000000535,585,669298,669327.0,2,2
537,11000000536,1403,544381,544423.0,1,3
538,11000000537,-1,1115453,1115464.0,4,2
539,11000000538,-1,1268892,1268938.0,2,2
540,11000000539,-1,486808,486856.0,5,1
541,11000000540,570,826544,826588.0,2,1
542,11000000541,1213,421547,421556.0,2,2
543,11000000542,101,725302,725361.0,1,2
544,11000000543,280,407520,407552.0,1,1
545,11000000544,980,651469,651520.0,2,1
546,11000000545,-1,1215192,1215207.0,5,1
547,11000000546,1121,642310,642354.0,3,1
548,11000000547,1259,858049,858069.0,5,2
549,11000000548,-1,999538,999567.0,2,2
550,11000000549,1025,720845,720881.0,1,1
551,11000000550,1050,632680,632684.0,2,2
552,11000000551,-1,388113,388156.0,2,1
553,11000000552,168,808264,808289.0,3,1
554,11000000553,-1,360629,360676.0,4,1
555,11000000554,1144,703887,703921.0,2,1
556,11000000555,-1,1202204,1202235.0,2,2
557,11000000556,-1,1076709,1076757.0,5,2
558,11000000557,156,912828,912871.0,1,2
559,11000000558,829,539305,539355.0,4,2
560,11000000559,659,1267271,1267324.0,2,2
561,11000000560,1054,716369,716391.0,2,2
562,11000000561,1380,973386,973391.0,5,2
563,11000000562,1450,1249495,1249530.0,1,2
564,11000000563,1379,1186686,1186739.0,2,3
565,11000000564,-1,686465,686478.0,3,2
566,11000000565,-1,729593,729617.0,2,1
567,11000000566,1295,862579,,3,2
568,11000000567,302,648092,648096.0,2,3
569,11000000568,167,826794,826821.0,5,2
570,11000000569,612,599276,599293.0,1,2
571,11000000570,514,894837,894881.0,2,2
572,11000000571,864,674510,674539.0,1,2
573,11000000572,547,941755,941793.0,2,1
574,11000000573,680,1120187,1120237.0,2,2
575,11000000574,434,660375,660428.0,2,2
576,11000000575,807,515299,515358.0,2,1
577,11000000576,-1,908781,908790.0,2,2
578,11000000577,684,517861,517897.0,4,2
579,11000000578,3,876991,877025.0,2,1
580,11000000579,207,766101,766108.0,2,2
581,11000000580,824,541975,541994.0,1,2
582,11000000581,764,728179,728232.0,1,1
583,11000000582,953,866423,866460.0,5,2
584,11000000583,-1,547356,547369.0,1,2
585,11000000584,677,427110,427166.0,1,2
586,11000000585,-1,1137350,1137398.0,4,2
587,11000000586,-1,864630,864646.0,2,2
588,11000000587,20,569789,569790.0,2,2
589,11000000588,671,591408,591418.0,1,2
590,11000000589,897,757632,757641.0,1,2
591,11000000590,1288,938057,,4,1
592,11000000591,-1,1186836,,5,1
593,11000000592,138,405233,405260.0,2,2
594,11000000593,493,414433,414480.0,2,2
595,11000000594,1296,1178028,1178050.0,2,1
596,11000000595,882,914524,914580.0,1,2
597,11000000596,-1,469294,469340.0,5,2
598,11000000597,-1,456914,456974.0,4,3
599,11000000598,506,818030,818084.0,1,2
600,11000000599,184,1036039,1036094.0,2,2
601,11000000600,743,567441,567468.0,3,1
602,11000000601,-1,843882,,4,1
603,11000000602,1361,568445,568460.0,2,1
604,11000000603,-1,997217,997267.0,4,2
605,11000000604,1228,655163,,1,2
606,11000000605,1088,549248,549282.0,3,1
607,11000000606,1085,502376,502396.0,2,2
608,11000000607,151,876478,876537.0,1,1
609,11000000608,-1,398011,398054.0,1,1
610,11000000609,-1,856709,856737.0,1,2
611,11000000610,827,1086435,1086447.0,1,1
612,11000000611,431,1242061,1242086.0,5,2
613,11000000612,-1,527105,527154.0,2,1
614,11000000613,910,581787,581846.0,4,1
615,11000000614,-1,933130,933140.0,2,2
616,11000000615,922,1110806,1110835.0,1,2
617,11000000616,-1,1041731,1041764.0,1,2
618,11000000617,-1,662543,662595.0,2,1
619,11000000618,22,572884,572890.0,2,1
620,11000000619,-1,541667,541687.0,1,1
621,11000000620,630,778163,778216.0,2,3
622,11000000621,10,666154,666213.0,2,2
623,11000000622,91,540790,540822.0,1,1
624,11000000623,1137,710486,710523.0,2,2
625,11000000624,1276,753955,753990.0,1,2
626,11000000625,-1,410354,,2,2
627,11000000626,282,774319,774328.0,2,1
628,11000000627,1323,997739,997798.0,1,2
629,11000000628,1345,573096,,1,2
630,11000000629,540,627890,627898.0,4,2
631,11000000630,139,686611,686657.0,2,1
632,11000000631,-1,739279,,3,1
633,11000000632,210,812860,812904.0,2,2
634,11000000633,748,939200,939217.0,1,2
635,11000000634,-1,840773,840775.0,5,1
636,11000000635,1375,627304,627352.0,2,2
637,11000000636,-1,1141788,1141840.0,2,2
